AL1953115781XW63X3334SE3WJ	78611263R	GBP	437.1
PT98222714410307122371827	33964464L	845.15	GBP
NL22QHVX4830182943	02669410F	USD	389.98
PT78461997729158096512493	56304499Q	DKK	601.6
DO41OE1F71300090297196859317	53072757G	960.09	DKK
ES1359823640102827616922	08899412E	424.56	GBP
FI1291198425298593	78592251D	385.13	GBP
HR1296219505926654396	34532646D		DKK
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q		USD
CH4221745ELQS0NB2YDI8	17277755V	371.62	EUR
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q		USD
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	CFH	95.03
IL757354520133364453852	55103783S	SEK	602.47
Ninety nine rocks
RS73278076436469452645	61478341P	765.64	RUB
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	USD	661.39
LT206097247476437800	43733112S	909.01	RUB

FI8776565714806556	73364721B	781.04	RUB
IR978633059983370222138180	02669410F	EUR	415.36
FI1291198425298593	78592251D	SEK	
CH9054905KGSMB7YC5NGI	69578568A	279.61	
BG64ZYDB016049B51JMUCU	38871658W	46.44	USD
PT98222714410307122371827	33964464L	USD	571.61
LV90GZABEFC7YL8CKPRIT	45820675Y	GBP	845.71
BE71843948421221	41656686Y	607.72	RUB
SA0994KFNAPS164YU9OOP574	57926790W	DKK	380.8
	CHF	263.31
CZ1548502965088257735371	11713644C	USD	
IL757354520133364453852	55103783S	DKK	268.98
SA6268DDJM7GA5WLMM1JRKJP	34532646D		GBP
AE48725YPOSTSU1LAQKZEPP	48974836Q	656.31	CHF
UA538840557549114757901561455	69578568A	330.65	GBP
UA964557479287233718409674295	78114389H	CHF	466.17
PT78461997729158096512493	56304499Q	USD	847.17
FO3735876142209257	68959267T	394.61	SEK
ES1359823640102827616922	08899412E	720.21	SEK
Ninety nine rocks

AE13938V4DMVSF49YS1CBL2	78592251D		977.5

MC842659327688NQYJW0V4CHU32	53597542K	SEK	176.05
LV90GZABEFC7YL8CKPRIT	45820675Y	GBP	249.68
AT515991783210824774	28047910P		CHF
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	GBP	361.29
Ninety nine rocks
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	963.25	SEK
HR1296219505926654396	34532646D	USD	525.45
FI8497437259092369	92650070K	327.48	RUB
CH9054905KGSMB7YC5NGI	69578568A	SEK	
AL4456909000GSUDO7J539MIJH1L	48974836Q	317.44	EUR
	75.83	CHF
LI1878690NFPCE8D5010B	15449763L	RUB	509.28
SA0994KFNAPS164YU9OOP574	57926790W		DKK
MD22BLJACUIOIDPAPNN838U5	78592251D	DKK	132.33
GR142761949P1CZJZDJ2SYQNDI0	90467036D	503.42	EUR
CZ1548502965088257735371	11713644C	63.8	USD
SK3641392995208681155858	52141397Y	380.27	SEK
ES5401017366906132602799	65092468F	185.79	EUR
CH4221745ELQS0NB2YDI8	17277755V		952.63
	119.55	DKK
DE49048012355817038246	09651809C		EUR
SA6268DDJM7GA5WLMM1JRKJP	34532646D	707.99	EUR
BH45AGIJDDMI1S7IVMPBYX	72652162S	SEK	953.15
TN4619849WRCEBMJKF33ZPWG	68959267T	CHF	881.84
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	EUR	60.56
MC987944106826B9BN6WA3QT157	11713644C	CHF	163.62
DO41KY9H93712983353200450117	08899412E	DKK	110.78
	USD	5.77
GE16KV3003565361053066	78114389H	GBP	102.55
LT638365534312873039	28047910P	GBP	247.51
GE69NB5057725923884251	68879644A	611.41	DKK
MC400682288485KUAY58STITO40	38871658W	811.84	EUR

CR3128580029806078268	90467036D	869.57	DKK
GR164360004BUQC9R2QU6WJNKZW	90467036D	17.02	EUR
AE13938V4DMVSF49YS1CBL2	78592251D	407.47	SEK
CR4034466866742477204	92650070K	CHF	939.29
GI27KKMIDQ6N3YVAQN4J89C	90028562F	920.12	
LI4962509CEPXCTP4493V	90467036D	SEK	
TL312176758386021094474	45820675Y		886.68
VG13VRDJ7412591474836722	80518308T	288.35	USD
PK69L0BH8621817146060690	90028562F	SEK	385.09
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	SDU	816.65

Ninety nine rocks
EE709201509112700888	55103783S	DKK	106.24
AE77248SKMXJVII50LKBAWI	68959267T	DKK	389.96
	938.42	SEK
AE48725YPOSTSU1LAQKZEPP	48974836Q	USD	39.67
SI22734001141792429	92650070K	862.73	DKK

LV90GZABEFC7YL8CKPRIT	45820675Y	CHF	417.16
GR142761949P1CZJZDJ2SYQNDI0	90467036D	GBP	165.69

IE44RJQW49091678099855	78114389H	RUB	
DE09062364227116961150	46585803Q	N/A	DKK
UA964557479287233718409674295	78114389H	RUB	883.39
IE92ZGTS39160560652552	82288442P	156.06	SEK
BG64ZYDB016049B51JMUCU	38871658W	DKK	582.74
IL757354520133364453852	55103783S	232.69	SEK
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q		CHF
FI5863104861846787	72652162S	USD	570.99
	RUB	342.6
TN18118719KP723ZYRPADNG5	08899412E	437.27	CHF
	GBP	862.52
SK3641392995208681155858	52141397Y	RUB	83.46
FR682539276248I8ZTO8DOJPN36	52141397Y	273.44	GBP
PK43OEM16114242963306575	41656686Y	152.61	KK
Ninety nine rocks
	GBP	306.83
TN41642929RZ2WVDBTOBL2CI	56304499Q	27.9	EUR
Ninety nine rocks
SM59J4985929449INF26CCFYJ37	15449763L	GBP	648.79
AL82864783232AY3OS32O9RUBQO8	92650070K	745.8	GBP
FI4249627673709648	46585803Q	303.35	EUR
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	143.56	SEK
MD358F69VEV6FZO01VOURO61	53072757G	486.87	CHF
IL162768337079138447997	34532646D		USD
GI27KKMIDQ6N3YVAQN4J89C	90028562F		186.04
GE76HG3429778839455413	01216279Q	468.3	DKK
SI22734001141792429	92650070K	CHF	233.19
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	192.44	RUB
NL22QHVX4830182943	02669410F	815.55	CHF
TL312176758386021094474	45820675Y	GBP	874.38
SM08B8001360827MH4HE8ZWQZXP	57926790W	103.67	DKK
	USD	683.34
SA916624X9GG21M3UBMKVPVX	39670968Q	537.61	SEK
HR4850788821598398500	34712164N	GBP	915.1
FO8410656999415744	53072757G		
CH9054905KGSMB7YC5NGI	69578568A		127.56
VG13VRDJ7412591474836722	80518308T	854.57	DKK

	CHF	
ME49140146493717009212	32775503C	639.35	GBP
SK1489672683589923153342	21211380K	746.8	GBP
CR7912740288993353	47325741E	444.79	SEK
SK1869924870144967819542	57926790W	555.53	RUB
LT404680925845138006	33964464L	373.0	GBP
HU15418903579542555773697655	48974836Q	980.53	CHF
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	622.69	

FI8776565714806556	73364721B	950.92	GBP
FO3735876142209257	68959267T	SEK	630.76
XK663155587271893003	01216279Q		687.1
PT78461997729158096512493	56304499Q	DKK	809.97
BH45AGIJDDMI1S7IVMPBYX	72652162S	389.2	GBP
ES1651349876073379785110	25605636N		206.97
HR4850788821598398500	34712164N	402.84	DKK
Ninety nine rocks
DE49048012355817038246	09651809C	DKK	176.96
SA1782PK3NF0P8QAE54PWQE3	34712164N	GBP	
AD6527527677TJCTJOHBQLKJ	61873424C	404.74	CHF
ME16982539287692129889	39806689Z	497.44	SEK
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	412.7	SEK
SK1489672683589923153342	21211380K	861.42	SEK
	785.9	USD
DE49048012355817038246	09651809C		103.19
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	390.29	
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	DKK	

SE8587388767724906814093	45566106R		KK
IE92ZGTS39160560652552	82288442P	CHF	910.48
GI27KKMIDQ6N3YVAQN4J89C	90028562F	896.37	CHF
EE709201509112700888	55103783S	588.56	USD
SK7685939604189549058799	15449763L	USD	314.55
FI5863104861846787	72652162S		787.72
HU22190225373946217712707979	09651809C	CHF	58.18
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	USD	230.49
	519.28	EUR
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	SEK	304.85
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	SEK	747.89
HU15418903579542555773697655	48974836Q	471.84	DKK
ES4718187575330891239993	61478341P		SEK
IR171391265758083409634677	53597542K		RUB
AL82864783232AY3OS32O9RUBQO8	92650070K	911.46	USD
GE69NB5057725923884251	68879644A	543.6	EUR
	CHF	415.3

GR472662377QRYWJJB76MDKWVY5	69578568A	843.3	CHF
XK959557362593526620	56989796M		SEK
IE44RJQW49091678099855	78114389H	867.42	CHF
Ninety nine rocks
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S		766.0

IR171391265758083409634677	53597542K	RUB	144.65

AL82864783232AY3OS32O9RUBQO8	92650070K	948.12	USD
PT78461997729158096512493	56304499Q	557.61	GBP
SA1782PK3NF0P8QAE54PWQE3	34712164N		455.83
BH13DAYWFNRJ0GN2RAA7UR	82288442P	DKK	426.67
	713.3	USD
SA1782PK3NF0P8QAE54PWQE3	34712164N	DKK	554.83

HU86965308947958059611096929	90028562F	SEK	378.33
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	SEK	871.32
	GBP	687.9
NL97CVWG3195927181	02669410F	711.36	CHF
Ninety nine rocks
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	619.58	RUB
Ninety nine rocks
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	RUB	224.69
LT352161628775605252	52141397Y	154.17	CHF
SA0994KFNAPS164YU9OOP574	57926790W	DKK	384.69
XK663155587271893003	01216279Q	542.87	CHF
MC842659327688NQYJW0V4CHU32	53597542K	DKK	593.79
LT404680925845138006	33964464L	EUR	
HR2198178476216192029	80518308T	272.03	USD
IS980339257905051446545486	38871658W		
PK13DK7K1923908975902628	57926790W	686.41	CHF
NL22QHVX4830182943	02669410F	190.1	DKK
AD562291377791JAUCEU6WEV	73364721B	911.59	DKK

FO8410656999415744	53072757G	GBP	171.82
Ninety nine rocks
	GBP	
FI5863104861846787	72652162S	816.41	SEK
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	RUB	277.09
IT90H5711291332703M1NFOWKRD	17277755V	SEK	227.75
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	884.81	DKK
KZ197834HFIDJLC1ZQWJ	43733112S	GBP	890.78
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	EUR	301.13
AZ54YSZLV7G64LKHIDKJG5ZZYB	44695435L	23.25	SEK
MC842659327688NQYJW0V4CHU32	53597542K	322.75	GBP
IR978633059983370222138180	02669410F	709.2	CHF
CZ1548502965088257735371	11713644C	EUR	941.54
EE951921847242977559	61873424C	EUR	908.62
SK7685939604189549058799	15449763L	718.52	RUB
LT638365534312873039	28047910P	412.95	USD
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	USD	59.75
	258.02	RUE
CY1226960690HWXS17VH1FRUEURR	38871658W		RUB
LT404680925845138006	33964464L	142.55	USD
GB62WGVI99163003599889	46431533F	DKK	33.0
SM08B8001360827MH4HE8ZWQZXP	57926790W		896.02
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	877.43	USD

PK13DK7K1923908975902628	57926790W	DKK	
PK43OEM16114242963306575	41656686Y	EUR	395.28
ES4962575910679067061475	82288442P	USD	994.39
LT404680925845138006	33964464L	RUB	
SK7685939604189549058799	15449763L	363.91	RUB
LU221999TVLCKM4G89ID	61478341P		GBP
VG79EPZL5105165679106759	41656686Y	130.14	DKK
Ninety nine rocks
IR978633059983370222138180	02669410F	DKK	304.24
TL336197208349896119319	56989796M	CHF	516.82
GE69NB5057725923884251	68879644A	763.47	EUR
GE69NB5057725923884251	68879644A	909.83	EUR
AL4456909000GSUDO7J539MIJH1L	48974836Q	SEK	241.62
Ninety nine rocks
IL757354520133364453852	55103783S	DKK	786.28
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	SEK	476.26
BG78BJUL967644HKNQNX4N	34712164N	GBP	592.9
HU22190225373946217712707979	09651809C	SEK	
Ninety nine rocks


ES1651349876073379785110	25605636N	60.61	USD
GI27KKMIDQ6N3YVAQN4J89C	90028562F	DKK	
LT404680925845138006	33964464L	529.46	USD
	218.69	GBP
	USD	563.04
AL1705361571EZPDI0TZ70PXVG3H	46431533F	25.01	CHF
SK3641392995208681155858	52141397Y	58.79	
XK959557362593526620	56989796M	SEK	564.35
FR682539276248I8ZTO8DOJPN36	52141397Y		123.5

Ninety nine rocks
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	142.73	SEK
DE09062364227116961150	46585803Q	N/A	USD
MD80N1CZ4MB1ANNPMS31CAW	75912165E	966.2	CHF
BR7290090080963467151419029U2	28047910P	678.92	GBP
Ninety nine rocks
IR510789771032621503621949	56989796M	RUB	618.85

Ninety nine rocks
	832.48	DKK
BG64ZYDB016049B51JMUCU	38871658W	619.5	USD
DO41KY9H93712983353200450117	08899412E	134.6	GBP
Ninety nine rocks
ES5643056944669015895516	25605636N	546.43	RUB
CH4221745ELQS0NB2YDI8	17277755V	DKK	547.75
VG4064KZ1023011179745755	45820675Y	686.56	SEK
FI4249627673709648	46585803Q	EUR	759.26
FR765595701119MOEGZPV5KXN70	68959267T	394.63	SEK
LI4699421SNVZ5X6KXPLB	73364721B	135.81	GBP
MR9765784658715364589276794	46431533F	720.77	DKK
SE8587388767724906814093	45566106R	SEK	560.86
FR067375965728LIMCBIKY04Q10	69578568A	767.04	SEK
IR510789771032621503621949	56989796M	GBP	838.34
FR6886408378912CSCX6FNQDF88	46431533F	209.68	CHF
IE44RJQW49091678099855	78114389H	168.48	USD
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	29.23	RUB
BG64ZYDB016049B51JMUCU	38871658W	748.82	RUB

LI1878690NFPCE8D5010B	15449763L	764.23	SEK
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	GBP	736.45
SK1869924870144967819542	57926790W	USD	376.72

TN4619849WRCEBMJKF33ZPWG	68959267T	CHF	
HU86965308947958059611096929	90028562F		609.19

VG13VRDJ7412591474836722	80518308T	114.29	
NL97CVWG3195927181	02669410F	CHF	508.18

