FO8410656999415744	53072757G	823.18	USD
KZ68819CZA89W15QWGWQ	45566106R	CHF	445.62
LI1878690NFPCE8D5010B	15449763L		EUR
SE4072059930724762036425	46585803Q	272.0	EUR
IE63LFMV23097240688740	73364721B	DKK	912.57
Ninety nine rocks
		237.84
Ninety nine rocks
CZ1548502965088257735371	11713644C	RUB	53.76
DE49048012355817038246	09651809C	USD	69.43
SA6268DDJM7GA5WLMM1JRKJP	34532646D	746.36	GBP
HR2198178476216192029	80518308T	EUR	
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	498.38
FI8497437259092369	92650070K	CHF	9.29
Ninety nine rocks
AL9862735241O4ZBHHSXTGB8S8G	49887195N	CHF	543.41
AD2206695671VH1ZHCJ41WML	34712164N	GBP	934.36
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	966.12	RUB
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	499.66	EUR
IT44U2903617084Y19H207T8BFC	74853928Z	695.6	
	DKK	335.08
	DKK	721.95
ES4962575910679067061475	82288442P	EUR	602.72
MC987944106826B9BN6WA3QT157	11713644C	DKK	707.03
IL055091996124285266508	09651809C	222.92	USD
IE44RJQW49091678099855	78114389H	USD	534.5
SI22734001141792429	92650070K	DKK	476.77
FR765595701119MOEGZPV5KXN70	68959267T	DKK	436.23
AL1705361571EZPDI0TZ70PXVG3H	46431533F	577.37	SEK
FR067375965728LIMCBIKY04Q10	69578568A	SEK	156.07
LU221999TVLCKM4G89ID	61478341P	EUR	
MC148366787383U6KBXX8ERM167	65092468F	RUB	138.9
IR050557230314417829966957	68879644A	941.76	GBP
S55KLXMZXX0XETNEOGN4ODQ5MCT5	34555901N	RUB	105.41
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	383.12	USD
	EUR	887.62
AL4456909000GSUDO7J539MIJH1L	48974836Q	771.32	SEK

BG64ZYDB016049B51JMUCU	38871658W	DKK	
BE71843948421221	41656686Y	638.0	DKK

IE92ZGTS39160560652552	82288442P	289.43	DKK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	39.08
ME16982539287692129889	39806689Z	CHF	835.65
IT90H5711291332703M1NFOWKRD	17277755V	USD	803.49
Ninety nine rocks
IR176571293272654756861852	49284913F	DKK	950.49
Ninety nine rocks
CR3128580029806078268	90467036D	143.93	GBP
AL1705361571EZPDI0TZ70PXVG3H	46431533F	719.9	EUR
SM16B78515997941NG37B30NHX4	61873424C	121.16	CHF
UA538840557549114757901561455	69578568A	885.26	SEK
	USD	776.49
ME66621247978064842093	45566106R	696.81	CHF
	77.24	USD
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	349.56	GBP

SK7685939604189549058799	15449763L	GBP	704.87
MR9765784658715364589276794	46431533F		629.94
FR682539276248I8ZTO8DOJPN36	52141397Y	USD	471.13
PT98222714410307122371827	33964464L		103.46
PL09657112501393580868416806	80518308T	USD	298.07
SK3641392995208681155858	52141397Y	895.3	EUR
AT515991783210824774	28047910P	CHF	871.62
BH45AGIJDDMI1S7IVMPBYX	72652162S	CHF	524.0
VG13VRDJ7412591474836722	80518308T	SEK	
ES4962575910679067061475	82288442P	808.03	SEK
PL09657112501393580868416806	80518308T	GBP	643.99
KZ94658KNDOP16GS0MQ8	43733112S	GBP	129.02
	GBP	635.32
IR510789771032621503621949	56989796M	RUB	859.45
SK7685939604189549058799	15449763L	GBP	539.51
XK653384625153233371	43733112S	DKK	801.9

MC239817569615Z9IWH7FP0GD04	28744101N	959.22	SEK
KZ197834HFIDJLC1ZQWJ	43733112S	RUB	807.42
ME49140146493717009212	32775503C	EUR	83.22
Ninety nine rocks
Ninety nine rocks
FR765595701119MOEGZPV5KXN70	68959267T		578.23
CZ7031956314160953199870	28744101N	981.69	EUR
	SEK	604.06
GE16KV3003565361053066	78114389H	CHF	656.77
DO41KY9H93712983353200450117	08899412E	406.98	USD
UA074704912616944389906174725	33964464L	SEK	819.57
PT30733844778295738083204	25605636N	232.48	GBP
FR4380461715659NWC070CZ6G58	90028562F	719.99	
	142.52	USD
GE69NB5057725923884251	68879644A	GBP	881.59
BG78BJUL967644HKNQNX4N	34712164N	334.54	USD
IL055091996124285266508	09651809C	165.98	EUR
BA073428119991458265	45820675Y	DKK	58.67
TN5872164OGDBPYXG9LENMKY	32775503C	USD	474.72
MD358F69VEV6FZO01VOURO61	53072757G	CHF	868.17

Ninety nine rocks
EE709201509112700888	55103783S	GBP	60.31
	784.73	EUR
SK1489672683589923153342	21211380K	EUR	
	DKK	134.49
LT638365534312873039	28047910P	N/A	
BG52YAMZ2798316FA0S342	21211380K	431.08	GBP
ME49140146493717009212	32775503C	291.13	RUB
LI4699421SNVZ5X6KXPLB	73364721B	962.28	
LT638365534312873039	28047910P	821.44	CHF
DO41KY9H93712983353200450117	08899412E	634.85	DKK
DO41OE1F71300090297196859317	53072757G	490.24	RUB
	688.76	GBP
Ninety nine rocks
FR067375965728LIMCBIKY04Q10	69578568A	USD	759.26
SM97G79397716272U9A9OBTJV1J	61873424C	DKK	159.82
GI19VETPFLRU0L1HZE6FI50	72652162S	EUR	947.55
TN5872164OGDBPYXG9LENMKY	32775503C	587.27	RUB
DE09062364227116961150	46585803Q	811.31	USD

Ninety nine rocks
MC987944106826B9BN6WA3QT157	11713644C		RUB
Ninety nine rocks
LU221999TVLCKM4G89ID	61478341P	DKK	913.77
Ninety nine rocks
SK7685939604189549058799	15449763L	EUR	655.57
IT44U2903617084Y19H207T8BFC	74853928Z	GBP	138.71
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	SEK	328.25
IR176571293272654756861852	49284913F	140.78	EUR
HU86965308947958059611096929	90028562F		EUR
Ninety nine rocks
Ninety nine rocks
ES1651349876073379785110	25605636N	RUB	119.93
SA0994KFNAPS164YU9OOP574	57926790W	857.15	GBP
HR4850788821598398500	34712164N	941.18	DKK

LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	721.63	CHF
BE44640395214523	02669410F	886.6	GBP
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	CHF	897.05
	101.55	
PL09657112501393580868416806	80518308T	DKK	383.45
AE48725YPOSTSU1LAQKZEPP	48974836Q	CHF	634.91
CH4221745ELQS0NB2YDI8	17277755V	DKK	
Ninety nine rocks
	397.09	EUR
VG79EPZL5105165679106759	41656686Y	331.09	USD
TN41642929RZ2WVDBTOBL2CI	56304499Q	892.57	USD
PT30733844778295738083204	25605636N	CHF	172.1
SE8587388767724906814093	45566106R	179.61	USD
TL620919673122426560269	78592251D		822.09
Ninety nine rocks
SK1869924870144967819542	57926790W	GBP	862.76
XK959557362593526620	56989796M	RUB	108.17
SA916624X9GG21M3UBMKVPVX	39670968Q	617.11	USD
GR164360004BUQC9R2QU6WJNKZW	90467036D	500.37	EUR
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	223.25	DKK
UA074704912616944389906174725	33964464L	CHF	342.1
	159.42	CHF
LT206097247476437800	43733112S	DKK	469.08
XK959557362593526620	56989796M	RUB	597.95
ME66621247978064842093	45566106R	CHF	152.71
TN4619849WRCEBMJKF33ZPWG	68959267T	204.27	SEK
SK3641392995208681155858	52141397Y	630.07	RUB
ME10920049706023941954	68879644A	GBP	
HU22190225373946217712707979	09651809C	EUR	191.78
ES5401017366906132602799	65092468F	314.8	
SA0994KFNAPS164YU9OOP574	57926790W	27.54	RUB
HU15418903579542555773697655	48974836Q	SEK	930.53
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	CHF	381.42
HU49663162407651895112051847	49284913F	USD	885.29
BE71843948421221	41656686Y	606.82	USD
Ninety nine rocks
LB54527RKD8R37V5TTZ3CGYM0H	29489409Y	87.82	SEK
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	543.25	USD
GI27KKMIDQ6N3YVAQN4J89C	90028562F	USD	71.49
Ninety nine rocks
SA1782PK3NF0P8QAE54PWQE3	34712164N		65.09
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	169.23	SEK
MC239817569615Z9IWH7FP0GD04	28744101N	SEK	736.36
EE951921847242977559	61873424C	546.55	CHF
GR142761949P1CZJZDJ2SYQNDI0	90467036D	EUR	952.22
VG13VRDJ7412591474836722	80518308T	977.43	USD
PT30733844778295738083204	25605636N	RUB	753.26
SA0994KFNAPS164YU9OOP574	57926790W	134.8	GBP
ME49140146493717009212	32775503C	109.87	RUB
DO41KY9H93712983353200450117	08899412E	339.38	SEK
ES4962575910679067061475	82288442P	SEK	923.81
	375.81	

LI7752678886R565EPXUC	39670968Q	284.23	DKK
MC400682288485KUAY58STITO40	38871658W	362.92	RUB
UA964557479287233718409674295	78114389H	SEK	326.3

GI19VETPFLRU0L1HZE6FI50	72652162S	N/A	EUR
AD2206695671VH1ZHCJ41WML	34712164N	346.6	SEK
VG4064KZ1023011179745755	45820675Y	USD	543.14
Ninety nine rocks
MC842659327688NQYJW0V4CHU32	53597542K	USD	950.13
SK3641392995208681155858	52141397Y	44.55	DKK

TL620919673122426560269	78592251D	RUB	677.97

SA35720BD63GIF2Y3O04T01F	11713644C	GBP	670.89

PT78461997729158096512493	56304499Q	USD	639.09
IL162768337079138447997	34532646D	281.0	RUB
TL620919673122426560269	78592251D	RUB	748.69
	RUB	288.08
IT44U2903617084Y19H207T8BFC	74853928Z	EUR	611.11
GB62WGVI99163003599889	46431533F		246.01
IL162768337079138447997	34532646D	EUR	56.55
	826.83	
ME91204415592058131974	28744101N	326.66	
	GBP	44.73
	750.14	EUR
UA761330313560969297851033726	33964464L	EUR	644.0

BE44640395214523	02669410F	944.8	SEK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	RUB	82.97
HU13482232244537176441358119	53597542K	469.08	EUR
ME66621247978064842093	45566106R	RUB	598.08
FR682539276248I8ZTO8DOJPN36	52141397Y	270.52	SEK
TL541166078438313575429	68879644A	601.76	GBP
PT30733844778295738083204	25605636N	RUB	26.37
IL883543164433395339809	25605636N	CHF	234.67
BA073428119991458265	45820675Y	CHF	892.99
	827.01	GBP
CH9054905KGSMB7YC5NGI	69578568A	EUR	882.59
SM97G79397716272U9A9OBTJV1J	61873424C	USD	265.79
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	KK	931.7
HU22190225373946217712707979	09651809C	208.99	CHF
ME49140146493717009212	32775503C	USD	890.06
	770.06	RUB
SK1869924870144967819542	57926790W	844.7	SEK
AE77248SKMXJVII50LKBAWI	68959267T	230.6	EUR
AE77248SKMXJVII50LKBAWI	68959267T	RUB	81.38

Ninety nine rocks
Ninety nine rocks
	GBP	125.3
UA074704912616944389906174725	33964464L	399.38	CHF
VG4064KZ1023011179745755	45820675Y	CHF	953.09
PT98222714410307122371827	33964464L	SEK	936.53
IR176571293272654756861852	49284913F	430.28	EUR
SK49044106453475922949	60568612E	EUR	453.62
FI1291198425298593	78592251D	GBP	64.83
CH9054905KGSMB7YC5NGI	69578568A	EUR	
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	SEK	382.46
CH4221745ELQS0NB2YDI8	17277755V	CHF	1.29

MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	366.14
TL833140836943039409693	82288442P	SEK	987.47
FR6886408378912CSCX6FNQDF88	46431533F	USD	164.85
FR682539276248I8ZTO8DOJPN36	52141397Y	284.12	SEK
	RUB	445.23
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	291.27	RUB
