LU33407NEVLQWFERO71	72413388M	914.71	GBP
PT98222714410307122371827	33964464L	DKK	483.65
AE13938V4DMVSF49YS1CBL2	78592251D	109.04	USD
MC400682288485KUAY58STITO40	38871658W	843.48	CHF
AE48725YPOSTSU1LAQKZEPP	48974836Q	EUR	657.92
CH9054905KGSMB7YC5NGI	69578568A	DKK	708.99
MC148366787383U6KBXX8ERM167	65092468F	SEK	
TL312176758386021094474	45820675Y	941.74	

Ninety nine rocks
CR3128580029806078268	90467036D	979.24	GBP
CH9054905KGSMB7YC5NGI	69578568A	CHF	666.64
GL153778321593	94734537E	RUB	822.97
CZ6290204813464341039	65718205F	273.24	EUR
GR472662377QRYWJJB76MDKWVY5	69578568A	584.3	SEK

PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	938.19	GBP
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C		171.11
IR050557230314417829966957	68879644A	RUB	745.17
HR2198178476216192029	80518308T	236.32	CHF
UA761330313560969297851033726	33964464L	531.74	RUB
AL4456909000GSUDO7J539MIJH1L	48974836Q	74.44	EUR
HR2198178476216192029	80518308T	888.95	RUB
IE63LFMV23097240688740	73364721B	CHF	216.74
AT515991783210824774	28047910P		SEK
VG79EPZL5105165679106759	41656686Y	KK	
Ninety nine rocks
IL757354520133364453852	55103783S		CHF
CH5486616JUSX9A78EG7Q	39806689Z	788.1	GBP
ME49140146493717009212	32775503C	936.39	EUR

	603.11	
SM16B78515997941NG37B30NHX4	61873424C	227.21	GBP
CR3128580029806078268	90467036D	690.9	DKK
FR682539276248I8ZTO8DOJPN36	52141397Y	376.05	
XK180068384138336739	53072757G	708.71	
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	USD	366.45
MR886985913380876336708	31818791V	673.98	CHF
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	606.21	
ME66621247978064842093	45566106R	EUR	669.26
SM16B78515997941NG37B30NHX4	61873424C	SEK	881.25
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	SEK	984.99

MC842659327688NQYJW0V4CHU32	53597542K	RUB	893.38
ES4962575910679067061475	82288442P	EUR	321.86
	915.64	USD
FI1291198425298593	78592251D	CHF	
LT352161628775605252	52141397Y	CHF	906.83
BH45AGIJDDMI1S7IVMPBYX	72652162S	937.77	RUB
IT90H5711291332703M1NFOWKRD	17277755V	433.68	CHF
IL4932436370659379477	77104755Q		722.77
MD22BLJACUIOIDPAPNN838U5	78592251D	432.92	CHF
FR682539276248I8ZTO8DOJPN36	52141397Y	SEK	501.24
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	DKK	940.3
VG79EPZL5105165679106759	41656686Y	RUB	N/A
ME49140146493717009212	32775503C	628.15	EUR
IR978633059983370222138180	02669410F		CHF
ME66621247978064842093	45566106R	GBP	442.16
GE16KV3003565361053066	78114389H	CHF	887.89
PK19XXR25392269503727898	65092468F	423.32	USD

BG52YAMZ2798316FA0S342	21211380K	RUB	875.15
GR142761949P1CZJZDJ2SYQNDI0	90467036D	GBP	220.09
Ninety nine rocks
	400.29	SEK
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	RUB	616.41
IS980339257905051446545486	38871658W	107.42	RUB

	SEK	441.37
SA0994KFNAPS164YU9OOP574	57926790W	N/A	USD
LT352161628775605252	52141397Y	797.05	


	USD	682.28
	GBP	313.54
	CHF	668.91
	79.84	
ES1651349876073379785110	25605636N	260.56	SEK

BA384377280747809071	28047910P		456.92
BA073428119991458265	45820675Y	SEK	983.13
MD305P5NPXCZUJLRCMTKK88D	46585803Q	585.15	RUB
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	USD	185.16

CZ0277706812138182328590	32775503C	USD	
EE709201509112700888	55103783S	780.43	CHF
IE44RJQW49091678099855	78114389H	321.05	GBP
CY1226960690HWXS17VH1FRUEURR	38871658W	RUB	831.44
IS980339257905051446545486	38871658W		816.98
CH6501090C07IXXNM2XD	68003314C	907.76	DKK
IE44RJQW49091678099855	78114389H	523.97	SEK
VG30C0J46457487530434592	74853928Z	751.03	RUB
PK13DK7K1923908975902628	57926790W	CHF	124.73

IL055091996124285266508	09651809C	GBP	603.63
	459.08	GBP
AL1705361571EZPDI0TZ70PXVG3H	46431533F	RUB	585.87
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	115.84	DKK
MD305P5NPXCZUJLRCMTKK88D	46585803Q	156.07	CHF
FI5863104861846787	72652162S	7.09	
TN6928626DST3UA1IPXJT80F	53597542K	DKK	483.67
FR6886408378912CSCX6FNQDF88	46431533F	SEK	

SM16B78515997941NG37B30NHX4	61873424C	CHF	837.53

LT638365534312873039	28047910P	SEK	145.94
Ninety nine rocks
AL82864783232AY3OS32O9RUBQO8	92650070K	753.69	RUB
AD562291377791JAUCEU6WEV	73364721B	DKK	307.55
LT352161628775605252	52141397Y	USD	248.6
SK7685939604189549058799	15449763L	887.65	USD
TR5428187TLTLTLWXSXNJBW98L	80518308T	SEK	994.34
IS980339257905051446545486	38871658W	752.56	CHF
LI4699421SNVZ5X6KXPLB	73364721B		399.96
TR5428187TLTLTLWXSXNJBW98L	80518308T	163.51	USD
NL97CVWG3195927181	02669410F		945.62
	RUB	28.79

FR067375965728LIMCBIKY04Q10	69578568A	394.91	SEK
Ninety nine rocks
Ninety nine rocks
ES4718187575330891239993	61478341P	DKK	798.76
SM97G79397716272U9A9OBTJV1J	61873424C	388.94	EUR
IR171391265758083409634677	53597542K	CHF	31.8
FI4249627673709648	46585803Q	USD	184.55
FI8497437259092369	92650070K	628.42	EUR
IR978633059983370222138180	02669410F	GBP	465.78
IL055091996124285266508	09651809C		CHF
ES5968395510953649142207	34532646D		893.73
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	RUB	862.47
SE4072059930724762036425	46585803Q	173.65	DKK
		41.18
IL055091996124285266508	09651809C	RUB	476.61
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	USD	622.99
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	USD	215.88
IR978633059983370222138180	02669410F	GBP	803.16

MC148366787383U6KBXX8ERM167	65092468F	EUR	102.43
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	984.62	USD
LV90GZABEFC7YL8CKPRIT	45820675Y	258.47	EUR
	484.1	GBP

AD6527527677TJCTJOHBQLKJ	61873424C	DKK	525.34
TR5428187TLTLTLWXSXNJBW98L	80518308T	93.88	USD
BA073428119991458265	45820675Y	167.57	DKK
AD562291377791JAUCEU6WEV	73364721B	651.66	CHF
IE44RJQW49091678099855	78114389H	76.51	RUB
FO8410656999415744	53072757G		GBP
GI27KKMIDQ6N3YVAQN4J89C	90028562F	943.19	DKK
SK1869924870144967819542	57926790W	RUB	122.26
ME10920049706023941954	68879644A	573.87	RUB
LI4962509CEPXCTP4493V	90467036D	852.96	EUR
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	DKK	449.8
XK653384625153233371	43733112S	CHF	629.24
GI27KKMIDQ6N3YVAQN4J89C	90028562F	564.77	RUB
	56.97	USD
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	GBP	345.03
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	639.48	EUR
Ninety nine rocks
VG79EPZL5105165679106759	41656686Y	GBP	

LT206097247476437800	43733112S	45.23	SEK
SM97G79397716272U9A9OBTJV1J	61873424C	DKK	436.12
AD2206695671VH1ZHCJ41WML	34712164N	268.33	RUB
FI8776565714806556	73364721B	GBP	383.76
TL833140836943039409693	82288442P	396.62	USD
LU221999TVLCKM4G89ID	61478341P	RUB	909.35
MR6642901340725320676709130	41656686Y	336.96	

NL97CVWG3195927181	02669410F	154.5	
TN41642929RZ2WVDBTOBL2CI	56304499Q	USD	488.36
	760.57	CHF
NL22QHVX4830182943	02669410F	SEK	97.36
BA073428119991458265	45820675Y	GBP	404.54
	EUR	705.98
TL336197208349896119319	56989796M	DKK	452.27
IR176571293272654756861852	49284913F	USD	602.24
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	406.2	SEK
SK7685939604189549058799	15449763L	CHF	109.17
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	71.31	DKK
CH4221745ELQS0NB2YDI8	17277755V	RUB	
	657.62	DKK

FI8497437259092369	92650070K	GBP	769.14
IL883543164433395339809	25605636N	111.51	BUR
HR2198178476216192029	80518308T	710.5	EUR
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	435.64	EUR
CZ0277706812138182328590	32775503C	253.45	USD
MD22BLJACUIOIDPAPNN838U5	78592251D		156.83
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	283.45	SEK
AT515991783210824774	28047910P	478.57	SEK

