LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	SEK	934.96
AL4456909000GSUDO7J539MIJH1L	48974836Q	523.56	GBP
ES5401017366906132602799	65092468F	USD	516.17
SA6268DDJM7GA5WLMM1JRKJP	34532646D	666.48	EUR
PT98222714410307122371827	33964464L	GBP	250.89
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	USD	689.32
TN6928626DST3UA1IPXJT80F	53597542K	SEK	390.23
TN5872164OGDBPYXG9LENMKY	32775503C	885.67	RUB
SA916624X9GG21M3UBMKVPVX	39670968Q		
Ninety nine rocks
	554.52	
IR050557230314417829966957	68879644A	978.03	CHF

Ninety nine rocks
Ninety nine rocks
MK36877PHFLXB419P01	56989796M	RUB	520.11
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	543.45	EUR
IE92ZGTS39160560652552	82288442P	255.14	SEK
IR510789771032621503621949	56989796M	SEK	879.52
IS980339257905051446545486	38871658W		443.21
ES5401017366906132602799	65092468F	157.55	USD
	450.62	CHF
DO41KY9H93712983353200450117	08899412E	353.67	USD
		GBP
EE951921847242977559	61873424C	GBP	531.53
FI8776565714806556	73364721B	594.13	CHF
FO8410656999415744	53072757G	SEK	259.74
MD305P5NPXCZUJLRCMTKK88D	46585803Q	USD	423.42
ES5643056944669015895516	25605636N	EUR	
IR176571293272654756861852	49284913F		
LI1878690NFPCE8D5010B	15449763L	EUR	584.92

ME49140146493717009212	32775503C	CHF	523.21
CH9054905KGSMB7YC5NGI	69578568A	RUB	402.39
GI19VETPFLRU0L1HZE6FI50	72652162S	USD	
GE16KV3003565361053066	78114389H	BUR	392.05
BG64ZYDB016049B51JMUCU	38871658W	471.37	CHF
MR6642901340725320676709130	41656686Y	SEK	510.67
UA074704912616944389906174725	33964464L	DKK	732.69
IR510789771032621503621949	56989796M	724.8	DKK
MD22BLJACUIOIDPAPNN838U5	78592251D	423.42	GBP
LT638365534312873039	28047910P	99.52	USD
SA0994KFNAPS164YU9OOP574	57926790W	CHF	902.79
FR067375965728LIMCBIKY04Q10	69578568A	814.48	USD
GR164360004BUQC9R2QU6WJNKZW	90467036D	SEK	729.38
LI4962509CEPXCTP4493V	90467036D	CHF	81.91
IL055091996124285266508	09651809C	EUR	230.12
Ninety nine rocks
IR510789771032621503621949	56989796M	536.22	CHF
HR4850788821598398500	34712164N		480.82
IL162768337079138447997	34532646D	USD	702.28
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	758.13	USD

KZ94658KNDOP16GS0MQ8	43733112S	USD	43.94
	CHF	448.43
CR4034466866742477204	92650070K	CHF	727.37
VG13VRDJ7412591474836722	80518308T	357.7	EUR
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	494.94	RUE
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	SEK	640.57
	GBP	782.79
LI7752678886R565EPXUC	39670968Q	595.93	CHF
PK69L0BH8621817146060690	90028562F	204.55	DKK
Ninety nine rocks
	EUR	199.36

I17126026035799711	19501582K	USD	880.05
TL312176758386021094474	45820675Y	271.05	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	USD	107.68
Ninety nine rocks
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	EUR	620.16

ME16982539287692129889	39806689Z		CHF
ES4962575910679067061475	82288442P	SEK	
MC400682288485KUAY58STITO40	38871658W	RUB	859.59
BG64ZYDB016049B51JMUCU	38871658W	USD	54.15
IE96EEMA36946143714469	49284913F	CHF	857.62
PT98222714410307122371827	33964464L	RUB	632.38
ME91204415592058131974	28744101N	GBP	520.75
	357.44	USD
VG13VRDJ7412591474836722	80518308T	419.12	RUB

DE49048012355817038246	09651809C	870.38	
XK180068384138336739	53072757G	654.88	SEK
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	RUB	221.62
FO8410656999415744	53072757G	557.91	EUR
IL757354520133364453852	55103783S	509.47	GBP
Ninety nine rocks
	RUB	957.08
AL82864783232AY3OS32O9RUBQO8	92650070K	CHF	249.36
XK653384625153233371	43733112S	279.85	USD

VG13VRDJ7412591474836722	80518308T	475.1	BUR
CH4221745ELQS0NB2YDI8	17277755V	513.17	USD
PT30733844778295738083204	25605636N	762.84	DKK
HU49663162407651895112051847	49284913F	865.55	USD
MD22BLJACUIOIDPAPNN838U5	78592251D	RUB	126.63
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	21.72	USD
	526.37	RUB
XK180068384138336739	53072757G	844.61	GBP
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	GBP	95.76
PK43OEM16114242963306575	41656686Y	USD	331.05
CR4034466866742477204	92650070K	RUB	435.07
UA074704912616944389906174725	33964464L	863.69	EUR
	780.69	RUB
	SEK	206.01
BG78BJUL967644HKNQNX4N	34712164N	375.5	USD
GE16KV3003565361053066	78114389H	615.79	EUR
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	936.15	
IE63LFMV23097240688740	73364721B	N/A	DKK
LT206097247476437800	43733112S	N/A	USD

	RUB	
BG52YAMZ2798316FA0S342	21211380K	739.18	
	748.32	CHF

MC987944106826B9BN6WA3QT157	11713644C	CHF	194.98
NL22QHVX4830182943	02669410F	264.2	CHF
PT30733844778295738083204	25605636N	SEK	376.22

FO3735876142209257	68959267T	DKK	758.19
IE96EEMA36946143714469	49284913F	529.15	DKK
Ninety nine rocks
UA761330313560969297851033726	33964464L	844.22	RUB
ME91204415592058131974	28744101N	736.14	SEK

VG30C0J46457487530434592	74853928Z		SDU
Ninety nine rocks
GL30004757109712	86063940B	477.27	USD
FR4380461715659NWC070CZ6G58	90028562F	RUB	
LV90GZABEFC7YL8CKPRIT	45820675Y	881.8	EUR

HU13482232244537176441358119	53597542K	GBP	227.7
UA964557479287233718409674295	78114389H	SEK	443.52
TL620919673122426560269	78592251D		GBP
LB957793SEUSHVA7QADC5597XVCS	15449763L	678.92	EUR
FR4380461715659NWC070CZ6G58	90028562F	686.86	RUB
HR2198178476216192029	80518308T	922.53	CHF

FR682539276248I8ZTO8DOJPN36	52141397Y	985.51	USD
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	377.12	CHF
GI27KKMIDQ6N3YVAQN4J89C	90028562F	450.51	USD
NL22QHVX4830182943	02669410F	41.24	EUR
	SEK	451.64
GI19VETPFLRU0L1HZE6FI50	72652162S	EUR	401.51
CH4221745ELQS0NB2YDI8	17277755V	SEK	790.28
MR9765784658715364589276794	46431533F	EUR	906.92
S185112613588213364746449	74052682C	RUB	683.88
LT638365534312873039	28047910P	388.43	DKK
CH9054905KGSMB7YC5NGI	69578568A	CHF	836.35
	GBP	150.6
	EUR	846.23
SM08B8001360827MH4HE8ZWQZXP	57926790W	201.85	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	RUB	28.96
FR682539276248I8ZTO8DOJPN36	52141397Y	DKK	303.39

SM16B78515997941NG37B30NHX4	61873424C	USD	863.06
FR290140946831APRRIEXK1057	50035226S	CHF	729.0
	543.46	EUR
PK43OEM16114242963306575	41656686Y	CHF	977.73
GI27KKMIDQ6N3YVAQN4J89C	90028562F	79.4	EUR
ES1651349876073379785110	25605636N	EUR	238.16
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	RUB	
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	EUR	963.08
PK69L0BH8621817146060690	90028562F	840.73	SEK
ES4718187575330891239993	61478341P		USD
AE13938V4DMVSF49YS1CBL2	78592251D	189.14	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	297.48	USD
	951.57	RUB
	40.68	
AD2206695671VH1ZHCJ41WML	34712164N	DKK	474.05
AD4883992558Y3YY0CUP33J	79515517X	CHF	339.1
EE709201509112700888	55103783S	748.87	SEK
IE92ZGTS39160560652552	82288442P	GBP	613.84
		DKK
LU221999TVLCKM4G89ID	61478341P	954.91	SEK
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	RUB	522.17
Ninety nine rocks
ES4718187575330891239993	61478341P	603.98	RUB
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	507.72	DKK
XK959557362593526620	56989796M	DKK	704.67
UA074704912616944389906174725	33964464L		98.4
LV90GZABEFC7YL8CKPRIT	45820675Y	746.86	GBP
DO757XIN61379289461304191141	21211380K	585.6	USD
GB62WGVI99163003599889	46431533F	KK	
	SEK	N/A

AE77248SKMXJVII50LKBAWI	68959267T	827.22	CHF
IE92ZGTS39160560652552	82288442P		211.3
	USD	66.85
NL97CVWG3195927181	02669410F	DKK	193.13

	SEK	679.35
BE71843948421221	41656686Y	RUB	438.28
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	RUB	
FI5863104861846787	72652162S		GBP
Ninety nine rocks
AE13938V4DMVSF49YS1CBL2	78592251D	48.29	GBP
PK43OEM16114242963306575	41656686Y	950.29	GBP

ES5401017366906132602799	65092468F	848.43	
GI19VETPFLRU0L1HZE6FI50	72652162S	EUR	492.72
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	RUB	437.08
Ninety nine rocks
SI22734001141792429	92650070K	581.34	USD
Ninety nine rocks
SA1782PK3NF0P8QAE54PWQE3	34712164N	435.92	EUR
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	CHF	111.75
CZ0277706812138182328590	32775503C	DKK	361.66
ES5643056944669015895516	25605636N	286.08	GBP
MC148366787383U6KBXX8ERM167	65092468F	545.81	SEK
MR9765784658715364589276794	46431533F	SEK	627.22
BG64ZYDB016049B51JMUCU	38871658W	717.99	CHF
LB957793SEUSHVA7QADC5597XVCS	15449763L	482.73	SEK
AD2206695671VH1ZHCJ41WML	34712164N	330.01	DKK

Ninety nine rocks
PT78461997729158096512493	56304499Q	RUB	287.91
CH5486616JUSX9A78EG7Q	39806689Z	512.89	EUR
GE76HG3429778839455413	01216279Q		
HU86965308947958059611096929	90028562F	965.33	SEK
LI4699421SNVZ5X6KXPLB	73364721B	CHF	409.9
SM16B78515997941NG37B30NHX4	61873424C	SEK	965.62

TL541166078438313575429	68879644A	881.34	DKK
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	782.6	RUB
GI19VETPFLRU0L1HZE6FI50	72652162S	USD	804.34
Ninety nine rocks

BE44640395214523	02669410F	CHF	507.22
Ninety nine rocks
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	494.24	USD
TL312176758386021094474	45820675Y	DKK	991.19
CZ0277706812138182328590	32775503C	GBP	994.39
SK3641392995208681155858	52141397Y	USD	
CR3128580029806078268	90467036D	GBP	789.07
SA916624X9GG21M3UBMKVPVX	39670968Q		285.78
HU22190225373946217712707979	09651809C	311.7	
	29.82	CHF

AE48725YPOSTSU1LAQKZEPP	48974836Q	444.33	SEK
TN41642929RZ2WVDBTOBL2CI	56304499Q	SEK	246.33
Ninety nine rocks
SM16B78515997941NG37B30NHX4	61873424C	840.75	EUR

LU221999TVLCKM4G89ID	61478341P	RUE	399.28
FR6886408378912CSCX6FNQDF88	46431533F	972.74	RUB
Ninety nine rocks
LI7752678886R565EPXUC	39670968Q	123.47	USD
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	GBP	781.97
SA6268DDJM7GA5WLMM1JRKJP	34532646D	698.85	USD
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	EUR	235.42
HU86965308947958059611096929	90028562F	CHF	286.64
LV90GZABEFC7YL8CKPRIT	45820675Y	563.15	EUR
SA6268DDJM7GA5WLMM1JRKJP	34532646D	748.23	EUR
Ninety nine rocks
IE92ZGTS39160560652552	82288442P	USD	80.24

CY1226960690HWXS17VH1FRUEURR	38871658W	507.42	GBP
IL162768337079138447997	34532646D	350.23	EUR
Ninety nine rocks
LI7752678886R565EPXUC	39670968Q	99.64	SEK
AT515991783210824774	28047910P	139.82	DKK
Ninety nine rocks
Ninety nine rocks
FI8776565714806556	73364721B	GBP	998.02
Ninety nine rocks
SM59J4985929449INF26CCFYJ37	15449763L	236.57	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	USD	
Ninety nine rocks

JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	262.59	DKK
IL883543164433395339809	25605636N	SEK	409.37
ES4718187575330891239993	61478341P	USD	578.93
IL055091996124285266508	09651809C	EUR	939.32
MK36877PHFLXB419P01	56989796M	412.97	USD
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	DKK	284.41
	318.31	
PT98222714410307122371827	33964464L		DKK
AL4456909000GSUDO7J539MIJH1L	48974836Q		93.18

AD6527527677TJCTJOHBQLKJ	61873424C	141.62	CHF


MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	SEK	436.62
	GBP	
PK69L0BH8621817146060690	90028562F	GB	98.24
XK959557362593526620	56989796M	683.8	DKK
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	50.72	USD
	EUR	450.01

FO3735876142209257	68959267T	578.16	DKK
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	551.23	SEK
CR4034466866742477204	92650070K	DKK	88.85
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	522.71	SEK
AD6527527677TJCTJOHBQLKJ	61873424C	USD	474.09
IE44RJQW49091678099855	78114389H	DKK	214.9
LV90GZABEFC7YL8CKPRIT	45820675Y	348.04	
AD6527527677TJCTJOHBQLKJ	61873424C	15.55	CHF
MC842659327688NQYJW0V4CHU32	53597542K	615.06	GBP
Ninety nine rocks
BE44640395214523	02669410F	841.63	DKK
PL09657112501393580868416806	80518308T	199.69	CHF
LB966695ACK3Y54N5I1TS8JBU8T	28916589R	987.72	
PK43OEM16114242963306575	41656686Y	873.51	CHF
	987.83	EUR
SK1869924870144967819542	57926790W	RUB	305.59
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q		SEK
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	326.65	EUR
GE76HG3429778839455413	01216279Q	SEK	518.67
Ninety nine rocks
ES1651349876073379785110	25605636N		RUB

KZ94658KNDOP16GS0MQ8	43733112S	GBP	203.58
FI8497437259092369	92650070K	DKK	329.16
		GBP
SM16B78515997941NG37B30NHX4	61873424C	DKK	258.02
TN4619849WRCEBMJKF33ZPWG	68959267T	USD	979.93
	926.61	KK
HU86965308947958059611096929	90028562F	33.62	GBP

TR5428187TLTLTLWXSXNJBW98L	80518308T	EUR	116.36

BR7290090080963467151419029U2	28047910P	973.37	EUR
