VG13VRDJ7412591474836722	80518308T	174.38	CHF
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	896.99	CHF

CR4034466866742477204	92650070K	EUR	
GR66182063CCS8RRWCENF5EYW	66494275B	CHF	779.75
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	CHF	796.18
	875.65	EUR
FI5863104861846787	72652162S	123.82	USD
KZ68819CZA89W15QWGWQ	45566106R	GBP	253.56
ME10920049706023941954	68879644A		USD
Ninety nine rocks
PK43OEM16114242963306575	41656686Y	EUR	859.08
SK7685939604189549058799	15449763L	981.05	CHF
VG30C0J46457487530434592	74853928Z	EUR	581.11
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	988.07	EUR

CZ7031956314160953199870	28744101N	CHF	494.82
IR176571293272654756861852	49284913F	624.1	
Ninety nine rocks
FO3735876142209257	68959267T	573.33	USD
	CHF	47.33
FI4249627673709648	46585803Q	CHF	718.96
Ninety nine rocks
HR0716993961872852399	65092468F	GBP	825.85
LT404680925845138006	33964464L	USD	545.64
SA916624X9GG21M3UBMKVPVX	39670968Q	532.82	RUB

VG79EPZL5105165679106759	41656686Y	CHF	22.07
	RUB	189.15
HR0716993961872852399	65092468F	USD	193.92
IS171554950920843049747431	32884971P		GBP
MK36877PHFLXB419P01	56989796M	515.6	RUB
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	RUB	602.07
PK19XXR25392269503727898	65092468F	593.92	USD
XK653384625153233371	43733112S	RUB	62.6
KZ94658KNDOP16GS0MQ8	43733112S	131.22	SEK
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	RUB	900.43
PT78461997729158096512493	56304499Q	USD	458.11
BE44640395214523	02669410F	CHF	516.23
IL055091996124285266508	09651809C	DKK	771.43
Ninety nine rocks
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	GBP	80.29

TL833140836943039409693	82288442P	464.15	RUB
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q		51.21
XK653384625153233371	43733112S	USD	149.69

XK959557362593526620	56989796M	892.63	CHF
NL97CVWG3195927181	02669410F		
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	363.81	GBP

PT78461997729158096512493	56304499Q	670.22	EUR
	CHF	
LI4699421SNVZ5X6KXPLB	73364721B	EUR	
GI27KKMIDQ6N3YVAQN4J89C	90028562F	CHF	863.46
UA538840557549114757901561455	69578568A	728.11	EUR
TL620919673122426560269	78592251D		
SK7685939604189549058799	15449763L	USD	
HR1296219505926654396	34532646D	448.37	SEK
TN41642929RZ2WVDBTOBL2CI	56304499Q	972.77	SEK
BG52YAMZ2798316FA0S342	21211380K	GB	911.44
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	GBP	539.77
Ninety nine rocks
	720.5	SEK
Ninety nine rocks
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	USD	33.83

PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q		347.02
DE49048012355817038246	09651809C		RUB
HU22190225373946217712707979	09651809C	823.12	EUR

UA761330313560969297851033726	33964464L	CHF	
MD358F69VEV6FZO01VOURO61	53072757G	RUB	621.78
BG78BJUL967644HKNQNX4N	34712164N	631.08	DKK
HU15418903579542555773697655	48974836Q	411.38	DKK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	BUR	617.95
HR4850788821598398500	34712164N		SEK
ES4718187575330891239993	61478341P	CHF	369.16
LI4699421SNVZ5X6KXPLB	73364721B	482.52	EUR
PL09657112501393580868416806	80518308T	CHF	332.31

IT90H5711291332703M1NFOWKRD	17277755V	275.03	RUB
TL541166078438313575429	68879644A	CHF	322.39
SA0994KFNAPS164YU9OOP574	57926790W	758.81	USD
TN41642929RZ2WVDBTOBL2CI	56304499Q	RUB	72.46
LT352161628775605252	52141397Y	818.09	DKK
BA384377280747809071	28047910P	323.99	EUR
AD6527527677TJCTJOHBQLKJ	61873424C	161.16	GBP
SE8587388767724906814093	45566106R	RUB	528.5
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	N/A	RUB
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	EUR	669.84
TN4619849WRCEBMJKF33ZPWG	68959267T	USD	342.86
KZ197834HFIDJLC1ZQWJ	43733112S	GBP	659.81
Ninety nine rocks
XK776855297591183	98701326R	869.69	CHF
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	DKK	422.81
CZ1548502965088257735371	11713644C		500.52
PT98222714410307122371827	33964464L	777.05	GBP
MR6642901340725320676709130	41656686Y	351.73	CHF
AE77248SKMXJVII50LKBAWI	68959267T	18.82	DKK
TN18118719KP723ZYRPADNG5	08899412E	USD	
MC400682288485KUAY58STITO40	38871658W	CHF	372.99
UA964557479287233718409674295	78114389H	252.55	EUR
PT78461997729158096512493	56304499Q	EUR	390.38
AE48725YPOSTSU1LAQKZEPP	48974836Q	344.99	GBP
MK36877PHFLXB419P01	56989796M	RUB	976.3
MC842659327688NQYJW0V4CHU32	53597542K	534.69	USD
PT30733844778295738083204	25605636N	369.22	SEK
RS73278076436469452645	61478341P	DKK	
AL82864783232AY3OS32O9RUBQO8	92650070K		154.86
BE71843948421221	41656686Y	915.09	
	USD	109.49
HU22190225373946217712707979	09651809C	USD	175.29
BH40JGQHIFW1PP4UDBSEGH	74853928Z	RUB	649.65
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	326.37	CHF
GR142761949P1CZJZDJ2SYQNDI0	90467036D	USD	334.19
MC842659327688NQYJW0V4CHU32	53597542K	662.25	SEK
AD562291377791JAUCEU6WEV	73364721B	RUB	279.18
GB62WGVI99163003599889	46431533F	RUB	460.59
	807.88	SEK
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	28.63
ES1651349876073379785110	25605636N	USD	134.36
BA073428119991458265	45820675Y	EUR	415.02
HR0716993961872852399	65092468F	USD	247.94
SA35720BD63GIF2Y3O04T01F	11713644C	DKK	
HU13482232244537176441358119	53597542K	430.27	CHF
	275.22	RUB
FI8776565714806556	73364721B	314.57	EUR
PK43OEM16114242963306575	41656686Y	CHF	
IR176571293272654756861852	49284913F		539.76
HR2198178476216192029	80518308T	225.36	GBP

BH45AGIJDDMI1S7IVMPBYX	72652162S	223.89	CHF
IT44U2903617084Y19H207T8BFC	74853928Z	SEK	788.0
XK653384625153233371	43733112S	876.1	USD
BG78BJUL967644HKNQNX4N	34712164N	CHF	734.26
	CHF	493.45
MC842659327688NQYJW0V4CHU32	53597542K	69.51	GBP
CH4221745ELQS0NB2YDI8	17277755V	345.93	SEK
UA074704912616944389906174725	33964464L	SEK	394.52
VG30C0J46457487530434592	74853928Z	SEK	993.0
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	CHF	378.56

QA60BEASA46QLNDIHD84O4BN391Y	30214139Y	RUB	410.35
SA35720BD63GIF2Y3O04T01F	11713644C	USD	713.67
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	RUB	55.59

CH9054905KGSMB7YC5NGI	69578568A	RUB	827.08


GE69NB5057725923884251	68879644A	GBP	734.3
AL4456909000GSUDO7J539MIJH1L	48974836Q		636.32

MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	SEK	167.06
Ninety nine rocks
IR978633059983370222138180	02669410F	421.8	
	977.59	RUB
MR9765784658715364589276794	46431533F	530.6	CHF

TL312176758386021094474	45820675Y		264.52
TL833140836943039409693	82288442P	CHF	111.0
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	CFH	368.03
Ninety nine rocks
UA761330313560969297851033726	33964464L	USD	307.05
MR6642901340725320676709130	41656686Y	EUR	658.96
CZ1548502965088257735371	11713644C	DKK	882.9
LT352161628775605252	52141397Y	CHF	669.13
CZ0277706812138182328590	32775503C	SEK	792.1

XK180068384138336739	53072757G	GBP	178.89

	467.54	USD
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	RUB	
LB957793SEUSHVA7QADC5597XVCS	15449763L	12.01	RUB
	SEK	337.24
MR6642901340725320676709130	41656686Y	USD	269.15
BH40JGQHIFW1PP4UDBSEGH	74853928Z		639.18

ME49140146493717009212	32775503C		EUR
ME91204415592058131974	28744101N	512.73	SEK
IL055091996124285266508	09651809C	512.83	SEK
SM08B8001360827MH4HE8ZWQZXP	57926790W	384.65	CHF

IE92ZGTS39160560652552	82288442P		648.94
IL162768337079138447997	34532646D	GBP	897.54
BR7290090080963467151419029U2	28047910P	USD	676.92
GR142761949P1CZJZDJ2SYQNDI0	90467036D	58.79	GBP
HR2198178476216192029	80518308T	759.76	GBP
GE69NB5057725923884251	68879644A	527.63	CHF
AL1705361571EZPDI0TZ70PXVG3H	46431533F	EUR	633.95
ES1651349876073379785110	25605636N	668.09	CHF
Ninety nine rocks

Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D		628.72
Ninety nine rocks
VG79EPZL5105165679106759	41656686Y	SEK	7.24
XK180068384138336739	53072757G	988.71	GBP
ES5968395510953649142207	34532646D	USD	899.69
	GBP	380.74
MC148366787383U6KBXX8ERM167	65092468F	423.96	EUR
Ninety nine rocks
AD562291377791JAUCEU6WEV	73364721B	742.23	EUR
AD562291377791JAUCEU6WEV	73364721B	USD	876.04
SA0994KFNAPS164YU9OOP574	57926790W	414.41	DKK
BA384377280747809071	28047910P	EUR	371.47
Ninety nine rocks
	349.42	DKK
		N/A
AE77248SKMXJVII50LKBAWI	68959267T	RUB	161.15
ES4718187575330891239993	61478341P	506.58	DKK
	83.67	DKK
	DKK	894.87
Ninety nine rocks
CY15898864GIDX2ASPP4SEIFC	36400990H	895.62	RUB
	CHF	888.86
Ninety nine rocks
MK36877PHFLXB419P01	56989796M	814.73	RUB
IT44U2903617084Y19H207T8BFC	74853928Z	93.56	EUR

ES5968395510953649142207	34532646D	CHF	432.16
BG78BJUL967644HKNQNX4N	34712164N	15.65	EUR
	GBP	361.56
XK180068384138336739	53072757G	RUB	842.48
	276.22	DKK
AE77248SKMXJVII50LKBAWI	68959267T	572.95	
PK43OEM16114242963306575	41656686Y	733.45	CHF
LI1878690NFPCE8D5010B	15449763L	190.47	
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	EUR	43.36
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	DKK	846.97
TN41642929RZ2WVDBTOBL2CI	56304499Q		
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	695.83	GBP
XK653384625153233371	43733112S	USD	707.63
XK653384625153233371	43733112S	SEK	636.85

TL833140836943039409693	82288442P		EUR
BH40JGQHIFW1PP4UDBSEGH	74853928Z	CHF	830.63
Ninety nine rocks
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	USD	N/A
IR978633059983370222138180	02669410F	573.39	BUR
	663.94	USD
Ninety nine rocks
KZ68819CZA89W15QWGWQ	45566106R	836.82	EUR
SM59J4985929449INF26CCFYJ37	15449763L	GBP	660.82
SA6268DDJM7GA5WLMM1JRKJP	34532646D	USD	
MR9765784658715364589276794	46431533F	335.06	CHF
CZ0277706812138182328590	32775503C	USD	786.4

GB62WGVI99163003599889	46431533F		107.21
GR472662377QRYWJJB76MDKWVY5	69578568A	269.35	EUR
	EUR	392.39
IR978633059983370222138180	02669410F		416.98
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	RUB	867.22

Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D	EUR	580.86
SM97G79397716272U9A9OBTJV1J	61873424C	SEK	710.54

Ninety nine rocks
LT638365534312873039	28047910P	USD	29.45
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	509.88	SEK

	432.03	DKK
LT638365534312873039	28047910P	DKK	319.55
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	941.09	GBP
SK7685939604189549058799	15449763L	280.73	USD
CR4034466866742477204	92650070K	453.92	USD
LI7752678886R565EPXUC	39670968Q	452.39	CHF
IR171391265758083409634677	53597542K	CHF	697.36
	585.5	GBP
FR4380461715659NWC070CZ6G58	90028562F	DKK	
	CHF	530.6
FI4249627673709648	46585803Q	EUR	101.17
		
HU15418903579542555773697655	48974836Q	715.65	USD
FR6886408378912CSCX6FNQDF88	46431533F	567.67	SEK
	SEK	745.79
CY1226960690HWXS17VH1FRUEURR	38871658W	GBP	52.07
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	CHF	168.05
XK663155587271893003	01216279Q	EUR	88.72
AT515991783210824774	28047910P	CHF	477.97
IL883543164433395339809	25605636N	927.68	USD
GI19VETPFLRU0L1HZE6FI50	72652162S	690.05	RUB
SA35720BD63GIF2Y3O04T01F	11713644C	EUR	550.95
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	306.48	RUB
Ninety nine rocks
PK43OEM16114242963306575	41656686Y	908.61	SEK
PK69L0BH8621817146060690	90028562F		
SE8587388767724906814093	45566106R	GBP	356.65
HR0716993961872852399	65092468F	RUB	859.47
LT404680925845138006	33964464L	GBP	794.52
FR4380461715659NWC070CZ6G58	90028562F	83.3	RUB
TN41642929RZ2WVDBTOBL2CI	56304499Q	699.61	USD

	DKK	862.0
HR2198178476216192029	80518308T	USD	133.77
IT90H5711291332703M1NFOWKRD	17277755V	307.29	SEK
	GBP	366.29
Ninety nine rocks
IT90H5711291332703M1NFOWKRD	17277755V	GBP	786.05
ES5968395510953649142207	34532646D		894.65
	RUB	72.55
AE77248SKMXJVII50LKBAWI	68959267T	USD	401.33
IR978633059983370222138180	02669410F	RUB	179.19
Ninety nine rocks
GE69NB5057725923884251	68879644A	RUB	382.09
BA384377280747809071	28047910P	USD	345.76
FR6886408378912CSCX6FNQDF88	46431533F	459.25	DKK
FI8776565714806556	73364721B	SEK	243.17

LT352161628775605252	52141397Y	518.98	USD
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	781.47	


ES5968395510953649142207	34532646D	76.39	GBP
GE76HG3429778839455413	01216279Q	RUB	210.0
LI4699421SNVZ5X6KXPLB	73364721B	643.85	CHF
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	879.33	USD
IS980339257905051446545486	38871658W	RUB	311.54
HU15418903579542555773697655	48974836Q	RUB	39.5
LU221999TVLCKM4G89ID	61478341P		
TL312176758386021094474	45820675Y	777.59	RUB

GI27KKMIDQ6N3YVAQN4J89C	90028562F	379.8	RUB
	94.52	GBP
ME66621247978064842093	45566106R	GBP	265.8
ME91204415592058131974	28744101N	832.91	EUR

IE44RJQW49091678099855	78114389H	581.32	RUB
Ninety nine rocks
ME10920049706023941954	68879644A	971.15	SEK
HR2198178476216192029	80518308T	50.85	
SK1489672683589923153342	21211380K	877.66	CHF
Ninety nine rocks

IR510789771032621503621949	56989796M	213.03	EUR
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	556.92	CHF
	RUB	837.12
ME49140146493717009212	32775503C	SEK	699.05
EE951921847242977559	61873424C	USD	582.36
AD562291377791JAUCEU6WEV	73364721B	930.31	GBP
HR1296219505926654396	34532646D	SEK	199.29
MC987944106826B9BN6WA3QT157	11713644C	USD	939.92
	839.59	RUB
AD6527527677TJCTJOHBQLKJ	61873424C	USD	571.0
IE44RJQW49091678099855	78114389H		SDU
IR510789771032621503621949	56989796M	RUB	243.37
Ninety nine rocks
MC239817569615Z9IWH7FP0GD04	28744101N	991.22	SEK
MD22BLJACUIOIDPAPNN838U5	78592251D	273.25	EUR
PK69L0BH8621817146060690	90028562F	624.92	CHF
DK331391289183982	56312123M	USD	770.39
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	USD	91.77
SK1489672683589923153342	21211380K	RUB	587.6
MC842659327688NQYJW0V4CHU32	53597542K	DKK	819.7
BE44640395214523	02669410F	DKK	468.9
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S		RUB
FO9238258269917892	08899412E	78.14	EUR
	138.61	EUR
Ninety nine rocks
	867.92	USD
JO81AJ67665UTSUAH8NZEFQPFRUH	35888427X	RUB	
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	810.74	
Ninety nine rocks
CZ1548502965088257735371	11713644C	CHF	647.4
LT206097247476437800	43733112S	626.42	GBP
HR4850788821598398500	34712164N	991.63	
SE8587388767724906814093	45566106R	247.74	RUB
HU86965308947958059611096929	90028562F	690.17	CHF
ME215254795965001	76010288G	RUB	368.02
MD358F69VEV6FZO01VOURO61	53072757G	USD	472.96
MR6642901340725320676709130	41656686Y	RUB	100.07
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	N/A	
Ninety nine rocks
	RUB	827.96
	140.08	SEK
		USD
SK3641392995208681155858	52141397Y	GBP	634.66
MD358F69VEV6FZO01VOURO61	53072757G	224.97	GBP
BG52YAMZ2798316FA0S342	21211380K	916.3	DKK
GB62WGVI99163003599889	46431533F	774.02	USD
CH5486616JUSX9A78EG7Q	39806689Z	RUB	339.06
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	496.19	USD
MD305P5NPXCZUJLRCMTKK88D	46585803Q	RUB	928.81
AD562291377791JAUCEU6WEV	73364721B	735.37	SEK
LI4699421SNVZ5X6KXPLB	73364721B	387.06	RUB

ME16982539287692129889	39806689Z	878.6	DKK
FR765595701119MOEGZPV5KXN70	68959267T	435.32	USD
	DKK	179.54
AD2206695671VH1ZHCJ41WML	34712164N	415.42	
Ninety nine rocks
DO41KY9H93712983353200450117	08899412E	48.18	CHF
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	911.15	EUR
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	972.42	EUR
MR9765784658715364589276794	46431533F	GBP	
	RUB	77.03
