
CR4034466866742477204	92650070K	310.22	CHF
KZ94658KNDOP16GS0MQ8	43733112S	220.29	EUR
Ninety nine rocks
ME91204415592058131974	28744101N		7.94
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	337.48	RUB
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	757.57	CHF
	GBP	
LT638365534312873039	28047910P	437.77	USD
HR2198178476216192029	80518308T	141.78	CHF
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	CHF	205.22
	245.87	CHF
PT78461997729158096512493	56304499Q	RUB	105.6
MC400682288485KUAY58STITO40	38871658W	GBP	
IS171554950920843049747431	32884971P	CHF	300.35
TN41642929RZ2WVDBTOBL2CI	56304499Q	850.17	
MC987944106826B9BN6WA3QT157	11713644C	612.75	RUB
HR365654395575138	84251725N	DKK	817.87
	779.06	CHF
TR6389231PIDVKBEWMNZGSGERM	39670968Q	435.58	SEK
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P		SEK
FI5863104861846787	72652162S	EUR	454.21
FR067375965728LIMCBIKY04Q10	69578568A	263.91	KK
EE709201509112700888	55103783S		836.79
AL4456909000GSUDO7J539MIJH1L	48974836Q	SEK	15.78
HR0716993961872852399	65092468F	CHF	955.69
LV90GZABEFC7YL8CKPRIT	45820675Y	EUR	374.85
ES1359823640102827616922	08899412E	886.65	SEK
SE8587388767724906814093	45566106R	USD	233.41
CZ0277706812138182328590	32775503C	470.85	USD
Ninety nine rocks
MC400682288485KUAY58STITO40	38871658W	SEK	566.3
AZ49URYXKVKPLAE7XHBLNB9HPHU	99301100G	EUR	804.62
SK7685939604189549058799	15449763L	RUB	722.88
NL97CVWG3195927181	02669410F	DKK	63.85
	442.1	EUR

HR1296219505926654396	34532646D	321.53	GBP
MR6642901340725320676709130	41656686Y	SEK	690.69


LU221999TVLCKM4G89ID	61478341P	DKK	982.67
HR2198178476216192029	80518308T	392.85	DKK
BR7290090080963467151419029U2	28047910P	437.3	DKK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	488.18	GBP

CZ0277706812138182328590	32775503C	471.33	DKK
FR682539276248I8ZTO8DOJPN36	52141397Y	237.9	CHF
HU86965308947958059611096929	90028562F	705.77	GBP
AE77248SKMXJVII50LKBAWI	68959267T		349.2
ME49140146493717009212	32775503C	461.66	RUB


DE49048012355817038246	09651809C	779.27	EUR
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q		SEK
IT44U2903617084Y19H207T8BFC	74853928Z	EUR	739.64
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	USD	45.52
IR978633059983370222138180	02669410F	RUB	
IL055091996124285266508	09651809C	364.39	EUR
SK3641392995208681155858	52141397Y		885.35
AE48725YPOSTSU1LAQKZEPP	48974836Q	SEK	877.69
BG64ZYDB016049B51JMUCU	38871658W	940.27	CHF
LI4962509CEPXCTP4493V	90467036D	335.3	RUB
SM16B78515997941NG37B30NHX4	61873424C		169.3
Ninety nine rocks
MC842659327688NQYJW0V4CHU32	53597542K	RUB	697.8
Ninety nine rocks
PK19XXR25392269503727898	65092468F	CHF	599.47

AL4456909000GSUDO7J539MIJH1L	48974836Q	SEK	437.38
GE69NB5057725923884251	68879644A	987.66	CHF
AL82864783232AY3OS32O9RUBQO8	92650070K	252.51	SEK
PK69L0BH8621817146060690	90028562F	EUR	82.21
XK653384625153233371	43733112S	SEK	972.3
	EUR	
ME49140146493717009212	32775503C	166.85	EUR
Ninety nine rocks
Ninety nine rocks
BH13DAYWFNRJ0GN2RAA7UR	82288442P	RUB	899.51
FO9238258269917892	08899412E	CHF	221.33
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	EUR	332.5
CZ1548502965088257735371	11713644C	RUB	550.36
KZ197834HFIDJLC1ZQWJ	43733112S	DKK	780.46
KZ197834HFIDJLC1ZQWJ	43733112S	DKK	387.82
MR9765784658715364589276794	46431533F	DKK	809.45
	EUR	922.92
HU13482232244537176441358119	53597542K	642.09	EUR
ME91204415592058131974	28744101N	GBP	699.5
IR171391265758083409634677	53597542K	892.46	GBP
Ninety nine rocks
LV90GZABEFC7YL8CKPRIT	45820675Y	750.21	EUR
SA916624X9GG21M3UBMKVPVX	39670968Q	SEK	990.05
TL312176758386021094474	45820675Y	506.44	GBP
	EUR	599.35

AE13938V4DMVSF49YS1CBL2	78592251D	RUE	948.97
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	DKK	682.29
IS171554950920843049747431	32884971P	121.46	SEK
PK19XXR25392269503727898	65092468F	636.85	SEK
IT90H5711291332703M1NFOWKRD	17277755V	RUB	523.82
FO8410656999415744	53072757G	CHF	137.57
FO3735876142209257	68959267T	640.05	DKK
GE16KV3003565361053066	78114389H	EUR	664.51
Ninety nine rocks
LI4962509CEPXCTP4493V	90467036D	284.66	GBP
MC239817569615Z9IWH7FP0GD04	28744101N		CHF
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	USD	106.69
SE4072059930724762036425	46585803Q	CFH	328.27
HU86965308947958059611096929	90028562F	145.03	DKK
SE8587388767724906814093	45566106R	931.64	GBP
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	DKK	545.82
IE63LFMV23097240688740	73364721B	CHF	449.34
SK7685939604189549058799	15449763L	690.22	CHF
LI4962509CEPXCTP4493V	90467036D	871.31	USD
MD358F69VEV6FZO01VOURO61	53072757G	RUB	984.63
RO10CYGJ0LFID9N0E6VIBWJV	32884971P		GBP
SI22734001141792429	92650070K	USD	885.9
ME91204415592058131974	28744101N		624.6
KZ197834HFIDJLC1ZQWJ	43733112S	GBP	50.01
TL312176758386021094474	45820675Y	GBP	
KZ68819CZA89W15QWGWQ	45566106R	880.64	SEK
VG79EPZL5105165679106759	41656686Y	GBP	298.11
SI22734001141792429	92650070K	EUR	42.5
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P		
BH40JGQHIFW1PP4UDBSEGH	74853928Z	69.81	DKK
SM08B8001360827MH4HE8ZWQZXP	57926790W	97.42	RUB
Ninety nine rocks
HR1296219505926654396	34532646D	179.18	RUB

Ninety nine rocks
	DKK	676.3
AT515991783210824774	28047910P	EUR	180.6
LB957793SEUSHVA7QADC5597XVCS	15449763L	DKK	469.88
IE44RJQW49091678099855	78114389H		969.29
MK36877PHFLXB419P01	56989796M	CHF	709.21
MC987944106826B9BN6WA3QT157	11713644C	CHF	
FO8410656999415744	53072757G	SEK	43.61
TR6389231PIDVKBEWMNZGSGERM	39670968Q	960.91	
TN18118719KP723ZYRPADNG5	08899412E	USD	279.98
KZ68819CZA89W15QWGWQ	45566106R	421.08	EUR
HR0716993961872852399	65092468F	GBP	796.12
SA6268DDJM7GA5WLMM1JRKJP	34532646D	375.26	CHF

	SEK	972.45
TL312176758386021094474	45820675Y	883.05	GBP
ES1651349876073379785110	25605636N	570.33	SEK
	DKK	376.67
TL541166078438313575429	68879644A	270.8	EUR
HR2198178476216192029	80518308T	319.3	RUB
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	RUB	98.51
BG78BJUL967644HKNQNX4N	34712164N	915.83	
MR6642901340725320676709130	41656686Y	685.03	CHF
IR176571293272654756861852	49284913F	GBP	821.54
ES1359823640102827616922	08899412E	CHF	349.42
	USD	
LI7752678886R565EPXUC	39670968Q		GBP
	545.92	DKK
MD305P5NPXCZUJLRCMTKK88D	46585803Q	EUR	977.17
IL883543164433395339809	25605636N	377.12	RUB
CZ1548502965088257735371	11713644C	132.8	DKK

KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	RUB	716.12
FO8410656999415744	53072757G	98.28	DKK
LI4962509CEPXCTP4493V	90467036D		N/A
ME66621247978064842093	45566106R	204.54	CHF
GI19VETPFLRU0L1HZE6FI50	72652162S	GBP	986.99
Ninety nine rocks
CZ7031956314160953199870	28744101N	665.15	CHF
IE44RJQW49091678099855	78114389H		GBP
XK180068384138336739	53072757G	392.75	RUB
ES1651349876073379785110	25605636N	SEK	188.45
GR164360004BUQC9R2QU6WJNKZW	90467036D	USD	12.04
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	USD	
Ninety nine rocks

SM08B8001360827MH4HE8ZWQZXP	57926790W	USD	808.19
SA6268DDJM7GA5WLMM1JRKJP	34532646D		424.53
EE709201509112700888	55103783S	GBP	674.35
SI22734001141792429	92650070K	N/A	CHF
SM97G79397716272U9A9OBTJV1J	61873424C	EUR	785.99
FO8410656999415744	53072757G	65.28	
CH5486616JUSX9A78EG7Q	39806689Z	N/A	DKK

FI1291198425298593	78592251D	108.82	DKK
	412.6	EUR
IR510789771032621503621949	56989796M	162.89	EUR
IR978633059983370222138180	02669410F	SEK	0.26

SA35720BD63GIF2Y3O04T01F	11713644C	SEK	86.55
Ninety nine rocks
IE92ZGTS39160560652552	82288442P	DKK	138.87

Ninety nine rocks
Ninety nine rocks
GB62WGVI99163003599889	46431533F		
Ninety nine rocks
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	397.71	GBP
BH45AGIJDDMI1S7IVMPBYX	72652162S	841.49	USD
ES5968395510953649142207	34532646D	SEK	606.27
IL055091996124285266508	09651809C	360.04	CHF
	891.91	GBP
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	SEK	230.57
	USD	811.79
GB2XALL49314592820	55276760X	368.22	SEK
AE48725YPOSTSU1LAQKZEPP	48974836Q	663.0	GBP
DO41OE1F71300090297196859317	53072757G	532.5	RUB
PL09657112501393580868416806	80518308T	USD	746.52
XK180068384138336739	53072757G	984.79	CHF
BR7290090080963467151419029U2	28047910P		USD
IE44RJQW49091678099855	78114389H		792.02
Ninety nine rocks
IR978633059983370222138180	02669410F	USD	
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C		773.09
LI4699421SNVZ5X6KXPLB	73364721B	342.78	SEK
PK69L0BH8621817146060690	90028562F	RUB	672.45
EE709201509112700888	55103783S	EUR	311.2
DO38IL6559206363439644803826	45566106R	CHF	193.87
ES1651349876073379785110	25605636N	560.31	USD
BH40JGQHIFW1PP4UDBSEGH	74853928Z	694.57	SEK
TL312176758386021094474	45820675Y	864.71	USD
DE09062364227116961150	46585803Q	478.79	CHF
	451.34	RUB
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	CHF	626.71
SK1869924870144967819542	57926790W	USD	184.62
PK19XXR25392269503727898	65092468F	USD	630.64
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	319.7	GBP
CR3128580029806078268	90467036D	DKK	527.69
AL4456909000GSUDO7J539MIJH1L	48974836Q	RUB	465.45

TN5872164OGDBPYXG9LENMKY	32775503C	44.31	SEK
SE8587388767724906814093	45566106R	133.95	DKK
FI5863104861846787	72652162S	109.45	RUB
ES1651349876073379785110	25605636N	CHF	236.09
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	131.04	SEK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	CHF	729.71
	RUB	869.39


ES1651349876073379785110	25605636N		
KZ94658KNDOP16GS0MQ8	43733112S	762.33	DKK
GB62WGVI99163003599889	46431533F		GBP
MD305P5NPXCZUJLRCMTKK88D	46585803Q	SEK	561.65
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	236.35
	GBP	982.87
MD358F69VEV6FZO01VOURO61	53072757G	443.54	SEK
BA384377280747809071	28047910P	USD	422.32
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	CHF	241.77
Ninety nine rocks
FO9238258269917892	08899412E	DKK	837.68
UA761330313560969297851033726	33964464L	150.11	CHF
VG13VRDJ7412591474836722	80518308T	948.68	GBP
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	CHF	396.07
DO757XIN61379289461304191141	21211380K	GBP	736.53
IR510789771032621503621949	56989796M	USD	617.11
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	RUB	165.01
LT404680925845138006	33964464L	886.65	GBP
LI4699421SNVZ5X6KXPLB	73364721B	946.8	GBP
CZ1548502965088257735371	11713644C	712.17	DKK
DE49048012355817038246	09651809C		851.18
ME66621247978064842093	45566106R	RUB	633.59
EE951921847242977559	61873424C	CHF	
DO757XIN61379289461304191141	21211380K	171.98	
GE16KV3003565361053066	78114389H	CHF	955.2
	SEK	274.24
IR050557230314417829966957	68879644A	DKK	370.99
MC987944106826B9BN6WA3QT157	11713644C	536.26	RUB
Ninety nine rocks
UA074704912616944389906174725	33964464L	CHF	701.22
HU86965308947958059611096929	90028562F	833.66	DKK
BR7290090080963467151419029U2	28047910P	CHF	607.22
SM59J4985929449INF26CCFYJ37	15449763L		401.08
SK1489672683589923153342	21211380K		831.97
BG52YAMZ2798316FA0S342	21211380K	EUR	236.1

BG52YAMZ2798316FA0S342	21211380K	CHF	434.54
PK43OEM16114242963306575	41656686Y	USD	223.21

SA6268DDJM7GA5WLMM1JRKJP	34532646D	671.36	CHF
TR5428187TLTLTLWXSXNJBW98L	80518308T	582.42	GBP
SA0994KFNAPS164YU9OOP574	57926790W	732.17	RUB
LV90GZABEFC7YL8CKPRIT	45820675Y	SEK	652.68
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	RUB	528.69
	EUR	807.45
TN4619849WRCEBMJKF33ZPWG	68959267T	156.62	RUB
SA6268DDJM7GA5WLMM1JRKJP	34532646D	USD	417.27
Ninety nine rocks
CH5486616JUSX9A78EG7Q	39806689Z	CHF	78.04
BG64ZYDB016049B51JMUCU	38871658W	CHF	486.21
IE63LFMV23097240688740	73364721B	413.44	CHF
LT638365534312873039	28047910P	DKK	98.27

IT90H5711291332703M1NFOWKRD	17277755V	RUB	766.67
ES5401017366906132602799	65092468F	914.75	RUB
FO9238258269917892	08899412E		RUB
SA1782PK3NF0P8QAE54PWQE3	34712164N	535.07	
IR176571293272654756861852	49284913F	RUB	25.49

	382.11	RUB
GR472662377QRYWJJB76MDKWVY5	69578568A	N/A	GBP
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	EUR	548.74
PL09657112501393580868416806	80518308T	391.54	EUR
GI95QSFP1CEJ7UBTHFJKTIT	17277755V		USD
SM97G79397716272U9A9OBTJV1J	61873424C	24.06	USD


LT638365534312873039	28047910P		EUR
FO3735876142209257	68959267T	EUR	525.13
XK663155587271893003	01216279Q	CHF	
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	SEK	914.95
CY1226960690HWXS17VH1FRUEURR	38871658W	DKK	473.54

XK653384625153233371	43733112S	164.47	GBP
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	222.79	CHF
Ninety nine rocks
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	CHF	N/A
FI5863104861846787	72652162S		
Ninety nine rocks
FI4249627673709648	46585803Q	591.95	SEK
GR142761949P1CZJZDJ2SYQNDI0	90467036D	879.17	GBP
IR050557230314417829966957	68879644A		300.3
ME49140146493717009212	32775503C	RUB	449.99
AD6527527677TJCTJOHBQLKJ	61873424C	GBP	862.42
TL620919673122426560269	78592251D	GBP	382.51
SI22734001141792429	92650070K	711.33	SEK
SA6268DDJM7GA5WLMM1JRKJP	34532646D	SEK	778.34
LI7752678886R565EPXUC	39670968Q	432.95	CHF
IL055091996124285266508	09651809C	609.87	GBP

AT515991783210824774	28047910P	RUB	527.74
TN4619849WRCEBMJKF33ZPWG	68959267T		DKK
	128.62	
HU22190225373946217712707979	09651809C	USD	140.09
MD358F69VEV6FZO01VOURO61	53072757G	539.75	RUB
	CHF	125.88
	273.72	EUR
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	524.28	DKK
Ninety nine rocks
Ninety nine rocks
HU22190225373946217712707979	09651809C	SEK	769.9
SK1869924870144967819542	57926790W	DKK	924.56
Ninety nine rocks
AE77248SKMXJVII50LKBAWI	68959267T	DKK	
MR9765784658715364589276794	46431533F	GBP	N/A
FI8776565714806556	73364721B		483.93
FO8410656999415744	53072757G	589.02	
ES4962575910679067061475	82288442P	626.02	DKK
	N/A	GBP
FR067375965728LIMCBIKY04Q10	69578568A	825.29	CHF
AD2206695671VH1ZHCJ41WML	34712164N	RUB	661.5
	GBP	
GE69NB5057725923884251	68879644A		SEK
IR510789771032621503621949	56989796M	716.76	SEK
ME10920049706023941954	68879644A	USD	620.65
	USD	318.42
XK180068384138336739	53072757G	RUB	326.97
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	GBP	321.84
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	CHF	857.69
IL757354520133364453852	55103783S	235.71	CHF

Ninety nine rocks
IE44RJQW49091678099855	78114389H	CHF	344.43
UA964557479287233718409674295	78114389H	GBP	185.32

	USD	391.32
VG13VRDJ7412591474836722	80518308T	820.22	USD
PK13DK7K1923908975902628	57926790W	SEK	454.15
PT30733844778295738083204	25605636N	601.06	RUB
SA0994KFNAPS164YU9OOP574	57926790W	RUB	963.86
IR176571293272654756861852	49284913F	446.81	EUR
TR5428187TLTLTLWXSXNJBW98L	80518308T	GBP	879.93
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	SEK	638.41
IE92ZGTS39160560652552	82288442P	EUR	503.99

Ninety nine rocks
XK653384625153233371	43733112S	57.88	USD
PK43OEM16114242963306575	41656686Y	685.96	EUR
GE69NB5057725923884251	68879644A	762.23	SEK
HR1296219505926654396	34532646D	GBP	
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z		739.79
GE76HG3429778839455413	01216279Q	GBP	288.15
BG78BJUL967644HKNQNX4N	34712164N	DKK	564.21
MD305P5NPXCZUJLRCMTKK88D	46585803Q	262.05	CHF
LT352161628775605252	52141397Y	230.87	RUE
HR2198178476216192029	80518308T	SEK	351.53
TR5428187TLTLTLWXSXNJBW98L	80518308T	DKK	199.06
MK36877PHFLXB419P01	56989796M	N/A	USD
Ninety nine rocks
HR1296219505926654396	34532646D		792.38
FR6886408378912CSCX6FNQDF88	46431533F		685.44

MD305P5NPXCZUJLRCMTKK88D	46585803Q		808.92
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	CHF	
ES5968395510953649142207	34532646D	158.08	GBP
AD6527527677TJCTJOHBQLKJ	61873424C	SEK	74.53
AD562291377791JAUCEU6WEV	73364721B	SEK	99.11
XK959557362593526620	56989796M	EUR	985.64
SM97G79397716272U9A9OBTJV1J	61873424C	886.2	
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	507.75	USD

ES5968395510953649142207	34532646D	409.62	DKK
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	645.89	USD
Ninety nine rocks
IE96EEMA36946143714469	49284913F	SEK	346.09
FI8776565714806556	73364721B	EUR	83.97
TL336197208349896119319	56989796M		DKK
CH9054905KGSMB7YC5NGI	69578568A	670.79	SEK
KZ197834HFIDJLC1ZQWJ	43733112S	CHF	
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	926.71	USD
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	SEK	32.48
Ninety nine rocks
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	EUR	328.04
BG78BJUL967644HKNQNX4N	34712164N	890.69	GBP
GE69NB5057725923884251	68879644A	USD	975.19
CZ0277706812138182328590	32775503C	RUB	337.93
LT206097247476437800	43733112S	238.45	CHF
LT404680925845138006	33964464L	369.15	SEK
Ninety nine rocks
Ninety nine rocks
TL541166078438313575429	68879644A	172.84	CHF


RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	USD	557.08
AE48725YPOSTSU1LAQKZEPP	48974836Q	462.72	RUB
UA074704912616944389906174725	33964464L	CHF	65.45
ME66621247978064842093	45566106R	943.26	CHF
SM97G79397716272U9A9OBTJV1J	61873424C	636.77	SEK
HR2198178476216192029	80518308T	427.93	GBP
LI4962509CEPXCTP4493V	90467036D	DKK	293.67
ES1651349876073379785110	25605636N	569.08	CHF
TN5872164OGDBPYXG9LENMKY	32775503C	767.46	DKK

FO8410656999415744	53072757G	514.12	DKK
LV90GZABEFC7YL8CKPRIT	45820675Y	DKK	541.02
SM08B8001360827MH4HE8ZWQZXP	57926790W	CHF	611.72
VG13VRDJ7412591474836722	80518308T	164.92	DKK
BA384377280747809071	28047910P	702.04	
AL82864783232AY3OS32O9RUBQO8	92650070K	335.16	USD
SM97G79397716272U9A9OBTJV1J	61873424C	GBP	107.86
BH45AGIJDDMI1S7IVMPBYX	72652162S	373.28	SEK
FO9238258269917892	08899412E	11.35	
CY1226960690HWXS17VH1FRUEURR	38871658W	131.59	EUR
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	403.98	RUB
EE951921847242977559	61873424C		USD
ES4718187575330891239993	61478341P	64.5	
IE63LFMV23097240688740	73364721B	SEK	681.07
