Ninety nine rocks
IT48M2970563937D7MRXGKH52P	16422761A	408.89	EUR
NL22QHVX4830182943	02669410F	605.72	USD
SI22734001141792429	92650070K	730.9	EUR
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	106.82	SEK

IR978633059983370222138180	02669410F	774.41	RUB
Ninety nine rocks
	876.28	EUR
DO41KY9H93712983353200450117	08899412E	CHF	164.6
FR682539276248I8ZTO8DOJPN36	52141397Y	904.27	DKK
IR978633059983370222138180	02669410F	SEK	778.31
NL22QHVX4830182943	02669410F	230.93	RUB
AL82864783232AY3OS32O9RUBQO8	92650070K	129.26	EUR
	363.33	CHF
Ninety nine rocks
BH13DAYWFNRJ0GN2RAA7UR	82288442P	DKK	325.46
PT30733844778295738083204	25605636N	649.82	DKK
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	729.64	USD
Ninety nine rocks
	682.18	DKK
VG4064KZ1023011179745755	45820675Y		363.47

CY1226960690HWXS17VH1FRUEURR	38871658W	EUR	N/A
BA384377280747809071	28047910P	EUR	617.76
ES5401017366906132602799	65092468F	408.11	CHF
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	DKK	181.28

MC400682288485KUAY58STITO40	38871658W	DKK	309.82
Ninety nine rocks
Ninety nine rocks
TL541166078438313575429	68879644A	CHF	
LI1878690NFPCE8D5010B	15449763L	CHF	
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	SEK	314.89

Ninety nine rocks
IE92ZGTS39160560652552	82288442P	69.76	RUB
SE8587388767724906814093	45566106R	SEK	261.99
BA073428119991458265	45820675Y	276.07	
	USD	430.75
HU15418903579542555773697655	48974836Q	DKK	149.56
KZ68819CZA89W15QWGWQ	45566106R	906.33	EUR
FO3735876142209257	68959267T	522.51	DKK
DO41OE1F71300090297196859317	53072757G	706.6	CHF
KZ94658KNDOP16GS0MQ8	43733112S	56.89	
AD562291377791JAUCEU6WEV	73364721B	DKK	530.03
AL1705361571EZPDI0TZ70PXVG3H	46431533F	262.54	CHF
GB62WGVI99163003599889	46431533F	244.16	GBP
GB1ZQCK11157136	87193970M	347.45	DKK
KZ94658KNDOP16GS0MQ8	43733112S	SEK	695.88
IS3525612995361439998	00602322E	532.58	GBP
TR5428187TLTLTLWXSXNJBW98L	80518308T	863.62	DKK
FO9238258269917892	08899412E	315.2	
FR682539276248I8ZTO8DOJPN36	52141397Y	38.88	DKK
BH40JGQHIFW1PP4UDBSEGH	74853928Z	83.49	USD
LT352161628775605252	52141397Y	555.99	USD
ME16982539287692129889	39806689Z	RUB	110.89
SE4072059930724762036425	46585803Q	EUR	184.48
GB62WGVI99163003599889	46431533F	USD	581.09
Ninety nine rocks

AT515991783210824774	28047910P	DKK	941.78
LV90GZABEFC7YL8CKPRIT	45820675Y	921.37	SEK
IR171391265758083409634677	53597542K	SEK	727.26
PT78461997729158096512493	56304499Q	87.55	USD
TN18118719KP723ZYRPADNG5	08899412E	732.49	RUB
FI8776565714806556	73364721B	DKK	2.18
CH4221745ELQS0NB2YDI8	17277755V	246.09	
IE44RJQW49091678099855	78114389H	GBP	200.56
	839.66	RUB

LV90GZABEFC7YL8CKPRIT	45820675Y	607.42	USD
TL336197208349896119319	56989796M	560.09	DKK
AD2206695671VH1ZHCJ41WML	34712164N	DKK	539.46
TN18118719KP723ZYRPADNG5	08899412E	RUB	305.07
	RUB	267.13
CZ7031956314160953199870	28744101N	783.19	GBP
BH40JGQHIFW1PP4UDBSEGH	74853928Z	168.92	SEK
ES4962575910679067061475	82288442P	SEK	216.13
TL620919673122426560269	78592251D	RUB	592.09
BH13DAYWFNRJ0GN2RAA7UR	82288442P	4.59	GB
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	SEK	821.42
Ninety nine rocks
BH40JGQHIFW1PP4UDBSEGH	74853928Z	337.89	
	978.26	
SK3641392995208681155858	52141397Y	908.41	RUB
AT515991783210824774	28047910P	435.99	USD

	GBP	
BE71843948421221	41656686Y	DKK	
LT404680925845138006	33964464L	951.16	DKK
	USD	71.25
MC400682288485KUAY58STITO40	38871658W	RUB	52.86
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	700.78	CHF
MC400682288485KUAY58STITO40	38871658W	USD	37.07
Ninety nine rocks
MC400682288485KUAY58STITO40	38871658W	960.1	EUR
DE09062364227116961150	46585803Q	SEK	318.51
MC400682288485KUAY58STITO40	38871658W	USD	952.03
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	302.77	DKK
CZ7031956314160953199870	28744101N	SEK	533.98
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	161.58	DKK
LI4962509CEPXCTP4493V	90467036D	CHF	248.14
SA1782PK3NF0P8QAE54PWQE3	34712164N		

GR164360004BUQC9R2QU6WJNKZW	90467036D	705.24	SEK

AT515991783210824774	28047910P	GBP	801.81
FI8776565714806556	73364721B	CHF	586.49
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	RUB	798.99
Ninety nine rocks
IE44RJQW49091678099855	78114389H	EUR	111.37
		113.95
LT638365534312873039	28047910P	USD	193.28
XK663155587271893003	01216279Q	389.46	DKK
SK1869924870144967819542	57926790W	GBP	675.31
	CHF	680.86
	GBP	73.47
Ninety nine rocks
FI8776565714806556	73364721B	448.39	GBP

	117.28	USD
SA0994KFNAPS164YU9OOP574	57926790W	325.89	RUB
CY1226960690HWXS17VH1FRUEURR	38871658W	CHF	382.36
FR6886408378912CSCX6FNQDF88	46431533F	SEK	705.28
XK180068384138336739	53072757G	SEK	431.3
FO8410656999415744	53072757G	764.13	GBP
	654.35	DKK
MD305P5NPXCZUJLRCMTKK88D	46585803Q	GBP	110.85
FR6886408378912CSCX6FNQDF88	46431533F	GBP	241.56
Ninety nine rocks
LI4699421SNVZ5X6KXPLB	73364721B	EUR	19.43
TL833140836943039409693	82288442P	USD	679.0
UA761330313560969297851033726	33964464L	783.7	GBP


MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	DKK	121.18

VG30C0J46457487530434592	74853928Z	60.51	RUB

LI4699421SNVZ5X6KXPLB	73364721B	840.46	RUB
	715.51	EUR
GR472662377QRYWJJB76MDKWVY5	69578568A		USD
UA074704912616944389906174725	33964464L	823.61	DKK
LI1878690NFPCE8D5010B	15449763L	RUB	N/A
BE71843948421221	41656686Y	119.49	CHF
TN4619849WRCEBMJKF33ZPWG	68959267T	SEK	439.73

Ninety nine rocks
BH40JGQHIFW1PP4UDBSEGH	74853928Z	EUR	512.1
GE69NB5057725923884251	68879644A	DKK	599.1
CH4047885U563WGRXG0	51360619X	950.97	SEK
AT515991783210824774	28047910P	EUR	397.43
	287.07	RUB
	DKK	
SM59J4985929449INF26CCFYJ37	15449763L	CHF	437.37
ES5643056944669015895516	25605636N	SEK	765.15
AT515991783210824774	28047910P	32.51	DKK
IE44RJQW49091678099855	78114389H	RUB	451.52
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	543.58	EUR
BE44640395214523	02669410F	GBP	499.01
IE44RJQW49091678099855	78114389H	139.44	EUR
MC400682288485KUAY58STITO40	38871658W	100.34	DKK
GR472662377QRYWJJB76MDKWVY5	69578568A	456.57	USD
FI8776565714806556	73364721B	USD	805.72
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	SEK	612.85
AL82864783232AY3OS32O9RUBQO8	92650070K	RUB	402.37
LB957793SEUSHVA7QADC5597XVCS	15449763L	687.4	USD
GE69NB5057725923884251	68879644A	978.35	SEK
SE4072059930724762036425	46585803Q	RUB	46.68
FO8410656999415744	53072757G	SEK	421.7
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	
LT352161628775605252	52141397Y	400.63	RUB
LI7752678886R565EPXUC	39670968Q	N/A	USD
IL883543164433395339809	25605636N	EUR	232.2
LT206097247476437800	43733112S	686.92	
	246.27	USD
IL162768337079138447997	34532646D	230.6	SEK
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	N/A	RUB
GE16KV3003565361053066	78114389H	280.12	DKK


VG13VRDJ7412591474836722	80518308T	SEK	248.08

BE44640395214523	02669410F	DKK	886.65
AE13938V4DMVSF49YS1CBL2	78592251D	RUB	20.01
	CHF	157.75
TR6389231PIDVKBEWMNZGSGERM	39670968Q	SEK	259.7
SK7685939604189549058799	15449763L	69.93	EUR
SE4072059930724762036425	46585803Q	909.8	GBP

CH4221745ELQS0NB2YDI8	17277755V	515.85	GBP
	USD	316.1
DO41KY9H93712983353200450117	08899412E	397.81	CHF
GR164360004BUQC9R2QU6WJNKZW	90467036D	376.46	CHF
ES1359823640102827616922	08899412E	812.84	SEK
FR682539276248I8ZTO8DOJPN36	52141397Y	DKK	883.34
LT638365534312873039	28047910P	DKK	634.28
IL757354520133364453852	55103783S	643.12	CHF
FI5863104861846787	72652162S	255.35	EUR
FR4380461715659NWC070CZ6G58	90028562F	912.73	CHF

	707.36	CHF
CR3128580029806078268	90467036D	EUR	850.16
IR176571293272654756861852	49284913F	DKK	
AL82864783232AY3OS32O9RUBQO8	92650070K	CHF	696.96
AL4456909000GSUDO7J539MIJH1L	48974836Q		DKK
CY1226960690HWXS17VH1FRUEURR	38871658W	765.2	DKK
RO54BNRV3X3PU0CS8P68HHW	81772342Y	GBP	504.95
SK1489672683589923153342	21211380K	GBP	643.86
ES1359823640102827616922	08899412E	CHF	626.64

HU15418903579542555773697655	48974836Q	533.48	RUB
EE951921847242977559	61873424C	USD	503.65
FI5863104861846787	72652162S	165.15	SEK
Ninety nine rocks
HR0716993961872852399	65092468F	683.06	RUB
IE92ZGTS39160560652552	82288442P	489.2	RUB
SA0994KFNAPS164YU9OOP574	57926790W		CHF
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	CHF	237.5
CZ0277706812138182328590	32775503C	EUR	359.98

IR978633059983370222138180	02669410F	RUB	315.34

	280.97	RUE
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	DKK	310.21
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H		N/A
HU49663162407651895112051847	49284913F	67.97	DKK
Ninety nine rocks
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	RUB	181.72
PK19XXR25392269503727898	65092468F	USD	428.6
	CHF	616.52
IL883543164433395339809	25605636N	RUB	138.26

	35.69	SEK
DE09062364227116961150	46585803Q	604.21	
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	50.85	GBP
Ninety nine rocks
DO38IL6559206363439644803826	45566106R	GBP	773.69
IR171391265758083409634677	53597542K	551.88	SEK
SA6268DDJM7GA5WLMM1JRKJP	34532646D	DKK	622.8
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	290.66	SEK
LI4699421SNVZ5X6KXPLB	73364721B	EUR	942.12
TL541166078438313575429	68879644A	92.62	DKK
BH13DAYWFNRJ0GN2RAA7UR	82288442P	471.75	SEK
KZ94658KNDOP16GS0MQ8	43733112S	EUR	81.62
Ninety nine rocks
SI22734001141792429	92650070K	EUR	220.62
IS171554950920843049747431	32884971P	USD	714.51
GE16KV3003565361053066	78114389H		RUB
GR142761949P1CZJZDJ2SYQNDI0	90467036D	658.11	RUB
AL82864783232AY3OS32O9RUBQO8	92650070K	GBP	412.97
PL09657112501393580868416806	80518308T	CHF	64.55
BG64ZYDB016049B51JMUCU	38871658W	CHF	675.18

EE951921847242977559	61873424C	970.6	GBP
SM97G79397716272U9A9OBTJV1J	61873424C	USD	392.54
HU13482232244537176441358119	53597542K	DKK	93.49
IR510789771032621503621949	56989796M	SEK	960.63
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	EUR	354.41
NL22QHVX4830182943	02669410F	GBP	667.83
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q		USD
CZ7031956314160953199870	28744101N	SEK	840.73
ME66621247978064842093	45566106R	566.72	SEK
