MD49LN74O9LRRICC7EEVLU7	51129009X	GBP	
AL4456909000GSUDO7J539MIJH1L	48974836Q	466.99	USD
DO41OE1F71300090297196859317	53072757G	466.98	RUB
PK69L0BH8621817146060690	90028562F	387.05	SEK
IL162768337079138447997	34532646D	466.72	RUB
	RUB	422.89
IT44U2903617084Y19H207T8BFC	74853928Z	USD	244.44
Ninety nine rocks

FR6886408378912CSCX6FNQDF88	46431533F		807.15
ES4718187575330891239993	61478341P	266.26	DKK
SM16B78515997941NG37B30NHX4	61873424C	USD	364.55
ES4718187575330891239993	61478341P	RUB	419.75
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	187.97	EUR
HU15418903579542555773697655	48974836Q	DKK	459.71
Ninety nine rocks
Ninety nine rocks

AD2206695671VH1ZHCJ41WML	34712164N	31.9	DKK
ES5968395510953649142207	34532646D	GBP	756.66
SE8587388767724906814093	45566106R	DKK	321.31
	164.02	
ES5401017366906132602799	65092468F	63.85	EUR
IS980339257905051446545486	38871658W	17.64	SEK
PT30733844778295738083204	25605636N	CHF	453.67
LU221999TVLCKM4G89ID	61478341P	N/A	RUB
UA964557479287233718409674295	78114389H	EUR	91.62
LU221999TVLCKM4G89ID	61478341P	GBP	824.97
AD6527527677TJCTJOHBQLKJ	61873424C	657.94	RUB
AT515991783210824774	28047910P	336.4	RUB
Ninety nine rocks

LB957793SEUSHVA7QADC5597XVCS	15449763L	584.95	USD
CY1226960690HWXS17VH1FRUEURR	38871658W	858.4	EUR
ME91204415592058131974	28744101N	94.21	GBP
IT44U2903617084Y19H207T8BFC	74853928Z		847.0
MR9765784658715364589276794	46431533F	879.28	USD
	875.99	EUR

FI8497437259092369	92650070K	GBP	809.43
UA964557479287233718409674295	78114389H	CHF	480.2
LT404680925845138006	33964464L	RUB	153.84
ES1359823640102827616922	08899412E	938.04	
FI1291198425298593	78592251D	RUB	214.78
	132.47	
GL580125054785751	19362709E	USD	201.18

ES5643056944669015895516	25605636N	214.54	EUR
CZ7031956314160953199870	28744101N	23.32	CHF
Ninety nine rocks

AT515991783210824774	28047910P	558.71	USD
SK3641392995208681155858	52141397Y	323.11	EUR
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	811.23	USD
IR176571293272654756861852	49284913F	614.04	USD
IS194295003616882161528	98249187L	745.86	RUB
IE63LFMV23097240688740	73364721B	CHF	784.41
VG30C0J46457487530434592	74853928Z	586.59	RUB
HU15418903579542555773697655	48974836Q		427.41
GR472662377QRYWJJB76MDKWVY5	69578568A	269.55	DKK
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	767.14	CHF

	927.91	CHF
ES148049455422230603	41475966K	297.81	
ME66621247978064842093	45566106R	437.5	CHF
	872.72	EUR
TN4619849WRCEBMJKF33ZPWG	68959267T	755.94	CHF
HR0716993961872852399	65092468F	USD	508.84
BR7290090080963467151419029U2	28047910P	EUR	22.35
PT30733844778295738083204	25605636N	USD	435.84

	RUB	195.93
FR6886408378912CSCX6FNQDF88	46431533F	KES	516.83
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	261.34	GBP
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	240.33	RUB
	406.94	GBP

	240.36	RUB
DO03RYVQ31671267320709592	14274025L	254.79	RUB
ME10920049706023941954	68879644A	330.57	GBP
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q		SEK
CR4034466866742477204	92650070K	SEK	776.36
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	73.19	RUB
LB957793SEUSHVA7QADC5597XVCS	15449763L	GBP	600.51
LT404680925845138006	33964464L	700.64	CHF

HR1296219505926654396	34532646D	988.28	EUR
RS73278076436469452645	61478341P	806.36	RUB
SA35720BD63GIF2Y3O04T01F	11713644C	DKK	333.71
Ninety nine rocks
	316.65	GBP
TL336197208349896119319	56989796M	RUB	207.23
IT44U2903617084Y19H207T8BFC	74853928Z	114.77	RUB
HU49663162407651895112051847	49284913F	SEK	542.24
BA073428119991458265	45820675Y	DKK	784.03
LT206097247476437800	43733112S	779.65	SEK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	414.51	CHF
Ninety nine rocks
CZ1548502965088257735371	11713644C		261.84

SK1489672683589923153342	21211380K	786.68	DKK
Ninety nine rocks
IT90H5711291332703M1NFOWKRD	17277755V	SEK	22.05
Ninety nine rocks
BH13DAYWFNRJ0GN2RAA7UR	82288442P	134.07	CHF
PK13DK7K1923908975902628	57926790W	251.78	DKK
LT352161628775605252	52141397Y	N/A	SEK
IL883543164433395339809	25605636N	835.63	KES
HR2198178476216192029	80518308T	876.85	EUR
FO8410656999415744	53072757G	CHF	
Ninety nine rocks
XK663155587271893003	01216279Q	RUB	
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	EUR	393.36
ES4718187575330891239993	61478341P	148.47	CHF

GR164360004BUQC9R2QU6WJNKZW	90467036D	100.97	SEK
PT78461997729158096512493	56304499Q	864.58	DKK
MC148366787383U6KBXX8ERM167	65092468F	451.72	DKK
	CHF	801.89
EE951921847242977559	61873424C	750.67	
	EUR	
BA384377280747809071	28047910P	257.04	RUB
LB863652PCCJG32R1PC8OE2VMAY7	17277755V		
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	761.67	EUR
BH45AGIJDDMI1S7IVMPBYX	72652162S	887.24	GBP
Ninety nine rocks
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	SEK	417.42
Ninety nine rocks
RO10CYGJ0LFID9N0E6VIBWJV	32884971P		EUR
GR164360004BUQC9R2QU6WJNKZW	90467036D	SEK	N/A
SA0994KFNAPS164YU9OOP574	57926790W		125.16
SK1869924870144967819542	57926790W	461.42	USD
SA916624X9GG21M3UBMKVPVX	39670968Q	DKK	620.2
AD2206695671VH1ZHCJ41WML	34712164N	746.91	DKK
ME91204415592058131974	28744101N	DKK	599.95
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	4.08	RUB
HU15418903579542555773697655	48974836Q	815.15	EUR

TN41642929RZ2WVDBTOBL2CI	56304499Q	636.63	KES
NL22QHVX4830182943	02669410F	SEK	653.14
FR765595701119MOEGZPV5KXN70	68959267T	CHF	970.58
VG79EPZL5105165679106759	41656686Y	289.61	USD
LI4962509CEPXCTP4493V	90467036D	DKK	442.07
GB62WGVI99163003599889	46431533F	USD	357.65
HR2198178476216192029	80518308T	USD	62.93
MC842659327688NQYJW0V4CHU32	53597542K	SEK	414.0
VG13VRDJ7412591474836722	80518308T	526.86	KES
GI95QSFP1CEJ7UBTHFJKTIT	17277755V		308.25
AT515991783210824774	28047910P	487.99	EUR
AT515991783210824774	28047910P	521.69	CHF
FI4249627673709648	46585803Q	864.21	
CZ7031956314160953199870	28744101N	655.82	GBP
ES4718187575330891239993	61478341P	USD	
		EUR
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	77.22	CHF
EE951921847242977559	61873424C	60.79	RUB
MR9765784658715364589276794	46431533F		
IR176571293272654756861852	49284913F	DKK	96.98
SK1869924870144967819542	57926790W		DKK
Ninety nine rocks
	577.04	EUR
MD22BLJACUIOIDPAPNN838U5	78592251D	31.86	EUR
	228.72	GBP
NL22QHVX4830182943	02669410F	590.25	GBP
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	N/A	DKK
SA0994KFNAPS164YU9OOP574	57926790W	EUR	984.27
GE76HG3429778839455413	01216279Q	CHF	N/A
GE16KV3003565361053066	78114389H	CHF	959.59
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N		412.16
Ninety nine rocks
MD305P5NPXCZUJLRCMTKK88D	46585803Q	580.88	DKK
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	202.55	CHF
SM97G79397716272U9A9OBTJV1J	61873424C	855.18	GBP
LI1878690NFPCE8D5010B	15449763L	277.24	RUB
BH40JGQHIFW1PP4UDBSEGH	74853928Z	742.87	EUR
BH45AGIJDDMI1S7IVMPBYX	72652162S	815.34	GBP
Ninety nine rocks
BE71843948421221	41656686Y	CHF	13.56
MD305P5NPXCZUJLRCMTKK88D	46585803Q	138.38	EUR
SA35720BD63GIF2Y3O04T01F	11713644C	CHF	600.97
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	BUR	31.25
		GBP
AL4456909000GSUDO7J539MIJH1L	48974836Q	547.3	SEK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	185.4
Ninety nine rocks

Ninety nine rocks
SA1782PK3NF0P8QAE54PWQE3	34712164N	166.99	SEK
IS980339257905051446545486	38871658W	788.82	SEK
AD2206695671VH1ZHCJ41WML	34712164N	308.82	RUB
Ninety nine rocks
Ninety nine rocks
PK19XXR25392269503727898	65092468F	349.6	GBP
CY1226960690HWXS17VH1FRUEURR	38871658W	338.77	RUB
SA1782PK3NF0P8QAE54PWQE3	34712164N	DKK	947.94
UA761330313560969297851033726	33964464L	143.32	CHF
ES1359823640102827616922	08899412E	45.98	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	688.92	USD
	RUB	587.56
GE16KV3003565361053066	78114389H	885.05	CHF
FI8776565714806556	73364721B	USD	88.78
AE13938V4DMVSF49YS1CBL2	78592251D	USD	255.62
Ninety nine rocks
SA916624X9GG21M3UBMKVPVX	39670968Q	RUB	289.48
HR1296219505926654396	34532646D	GBP	992.94
ES1359823640102827616922	08899412E	579.12	DKK
HR0716993961872852399	65092468F	316.32	RUB
HR2198178476216192029	80518308T	GBP	473.39
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	995.92	GBP
LI4699421SNVZ5X6KXPLB	73364721B	EUR	582.89
PT78461997729158096512493	56304499Q	BUR	706.8
LB957793SEUSHVA7QADC5597XVCS	15449763L	537.61	USD
TR46776704J63CRFHUP6E3PY	09962157F	GBP	664.69
FO9238258269917892	08899412E	RUB	784.46
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	RUB	318.61

SK1489672683589923153342	21211380K	105.58	RUB
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	EUR	51.07
IL883543164433395339809	25605636N	77.66	RUB
	973.6	SEK
PK43OEM16114242963306575	41656686Y		USD
LT638365534312873039	28047910P	943.67	DKK
MC239817569615Z9IWH7FP0GD04	28744101N	CHF	918.96
CZ1548502965088257735371	11713644C		48.07
CH5486616JUSX9A78EG7Q	39806689Z	EUR	391.58
BH40JGQHIFW1PP4UDBSEGH	74853928Z	165.3	DKK
Ninety nine rocks
AL4456909000GSUDO7J539MIJH1L	48974836Q	CHF	969.29
	565.32	CHF
MR6642901340725320676709130	41656686Y	DKK	155.59
RS73278076436469452645	61478341P	USD	779.29
Ninety nine rocks
BR588281316976629347519EY	18305620J	DKK	425.24
CZ0277706812138182328590	32775503C	451.05	GBP
SA1782PK3NF0P8QAE54PWQE3	34712164N	726.75	RUB
	919.53	DKK
LT638365534312873039	28047910P	CHF	572.11
EE709201509112700888	55103783S		SEK
VG13VRDJ7412591474836722	80518308T	744.03	SEK
HU13482232244537176441358119	53597542K	492.6	EUR
SK7685939604189549058799	15449763L	SEK	20.6
LB957793SEUSHVA7QADC5597XVCS	15449763L	USD	870.77
Ninety nine rocks

AL82864783232AY3OS32O9RUBQO8	92650070K	758.94	SEK
LV90GZABEFC7YL8CKPRIT	45820675Y	SEK	159.04
PT30733844778295738083204	25605636N	636.49	EUR
BR7290090080963467151419029U2	28047910P	342.64	RUB
ME16982539287692129889	39806689Z	RUB	73.15
	EUR	614.53
FI4249627673709648	46585803Q	107.54	EUR
LU221999TVLCKM4G89ID	61478341P	139.85	RUB
MU74SX8QG18WM94KUVH6MBE2DJCNF	63222566Y	GBP	429.26
PK69L0BH8621817146060690	90028562F	275.65	
IR978633059983370222138180	02669410F	752.81	SEK
Ninety nine rocks

ES4962575910679067061475	82288442P	GBP	157.0
	USD	906.56
GR164360004BUQC9R2QU6WJNKZW	90467036D	590.57	USD
BE71843948421221	41656686Y	SEK	804.92
LT352161628775605252	52141397Y	GBP	753.12
LT206097247476437800	43733112S	GBP	
AD6527527677TJCTJOHBQLKJ	61873424C	EUR	458.46
IE63LFMV23097240688740	73364721B	EUR	497.05
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	937.15
HR1296219505926654396	34532646D	103.19	USD
	123.57	USD
CZ1548502965088257735371	11713644C	N/A	EUR
BH40JGQHIFW1PP4UDBSEGH	74853928Z	DKK	777.67
GR472662377QRYWJJB76MDKWVY5	69578568A	EUR	450.91
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	CHF	258.09
MC400682288485KUAY58STITO40	38871658W	464.51	EUR
AE77248SKMXJVII50LKBAWI	68959267T	611.16	SEK
TR5428187TLTLTLWXSXNJBW98L	80518308T	924.3	SEK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	GBP	541.28
SE4072059930724762036425	46585803Q		GBP
GE69NB5057725923884251	68879644A	USD	816.68
PK19XXR25392269503727898	65092468F	USD	219.86
SA35720BD63GIF2Y3O04T01F	11713644C	437.17	CHF
AE77248SKMXJVII50LKBAWI	68959267T	582.92	CHF
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	616.85	RUB
IE63LFMV23097240688740	73364721B	214.74	CHF

GE69NB5057725923884251	68879644A	SEK	681.73
	26.41	USD
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	EUR	540.64
UA074704912616944389906174725	33964464L	595.92	SEK
IL055091996124285266508	09651809C	159.44	USD
IS171554950920843049747431	32884971P	GBP	627.24
AD6527527677TJCTJOHBQLKJ	61873424C	437.23	RUB
FO3735876142209257	68959267T		419.51
Ninety nine rocks
IR510789771032621503621949	56989796M	GBP	88.85
DE49048012355817038246	09651809C	216.04	DKK
MC400682288485KUAY58STITO40	38871658W	419.97	
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	486.38	DKK
Ninety nine rocks
Ninety nine rocks
TL336197208349896119319	56989796M	CHF	380.98
CY1226960690HWXS17VH1FRUEURR	38871658W	719.87	RUB
	622.89	DKK
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C		GBP
ES1359823640102827616922	08899412E	DKK	369.83
TN5872164OGDBPYXG9LENMKY	32775503C	USD	248.14
LT352161628775605252	52141397Y	EUR	932.77
IE96EEMA36946143714469	49284913F	GBP	835.84
	SEK	664.73
FR067375965728LIMCBIKY04Q10	69578568A	EUR	726.17
SK3641392995208681155858	52141397Y	CHF	83.36
AE13938V4DMVSF49YS1CBL2	78592251D	SEK	613.36
VG30C0J46457487530434592	74853928Z	EUR	32.18
VG13VRDJ7412591474836722	80518308T	RUB	43.33
RS73278076436469452645	61478341P	EUR	26.24
LB957793SEUSHVA7QADC5597XVCS	15449763L	768.44	DKK
	58.25	DKK
SK3641392995208681155858	52141397Y	284.83	SEK
FI1291198425298593	78592251D	739.9	DKK

TL833140836943039409693	82288442P	SEK	426.18

TR6389231PIDVKBEWMNZGSGERM	39670968Q	DKK	600.63
UA538840557549114757901561455	69578568A	164.76	SEK
AE48725YPOSTSU1LAQKZEPP	48974836Q	835.57	SEK
	698.02	RUB
IR510789771032621503621949	56989796M	EUR	765.89
ES4718187575330891239993	61478341P	702.77	EUR
FO3735876142209257	68959267T	DKK	135.63
Ninety nine rocks
XK653384625153233371	43733112S	411.48	DKK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	414.61	USD
IL055091996124285266508	09651809C	EUR	657.85
Ninety nine rocks
TN41642929RZ2WVDBTOBL2CI	56304499Q	79.07	GBP
SE4072059930724762036425	46585803Q	SEK	453.25
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	763.95	SEK
PT78461997729158096512493	56304499Q	707.69	EUR
Ninety nine rocks
MR6642901340725320676709130	41656686Y	USD	470.13
	921.44	SEK
HR2198178476216192029	80518308T	SEK	
UA074704912616944389906174725	33964464L	956.36	SEK

SK1489672683589923153342	21211380K	DKK	394.16
	770.34	DKK
FR682539276248I8ZTO8DOJPN36	52141397Y	355.66	
	358.81	EUR

	EUR	50.92
Ninety nine rocks
TR6389231PIDVKBEWMNZGSGERM	39670968Q		328.01
MC400682288485KUAY58STITO40	38871658W	KES	978.37
MC987944106826B9BN6WA3QT157	11713644C	N/A	SEK
TN5872164OGDBPYXG9LENMKY	32775503C	997.67	SEK
PL09657112501393580868416806	80518308T	480.82	GBP
IE92ZGTS39160560652552	82288442P	536.03	DKK
DO41OE1F71300090297196859317	53072757G	USD	833.33
Ninety nine rocks
MC842659327688NQYJW0V4CHU32	53597542K	CHF	57.82
DE49048012355817038246	09651809C	USD	669.86
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	EUR	944.99

CH9054905KGSMB7YC5NGI	69578568A	SEK	717.02
Ninety nine rocks
BH45AGIJDDMI1S7IVMPBYX	72652162S	DKK	
BH13DAYWFNRJ0GN2RAA7UR	82288442P	580.4	RUB
ME49140146493717009212	32775503C	CHF	536.6
XK180068384138336739	53072757G	USD	936.09
	498.76	SEK

GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	526.67	CHF

SK7685939604189549058799	15449763L	329.83	DKK
HR2198178476216192029	80518308T	205.1	USD
IE96EEMA36946143714469	49284913F	EUR	1.5
