
IR171391265758083409634677	53597542K	30.7	SEK
SA35720BD63GIF2Y3O04T01F	11713644C	KES	693.6
VG4064KZ1023011179745755	45820675Y	DKK	47.02
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	USD	
FR682539276248I8ZTO8DOJPN36	52141397Y	GBP	573.71
MC842659327688NQYJW0V4CHU32	53597542K	454.89	CHF
	SEK	441.97
SA1782PK3NF0P8QAE54PWQE3	34712164N	430.33	
IE92ZGTS39160560652552	82288442P	USD	39.49
VG30C0J46457487530434592	74853928Z	279.79	RUB
MR6642901340725320676709130	41656686Y		314.05
BG52YAMZ2798316FA0S342	21211380K		CHF
RS73278076436469452645	61478341P	341.11	SEK
Ninety nine rocks
RS73278076436469452645	61478341P	DKK	103.42
AL1705361571EZPDI0TZ70PXVG3H	46431533F		GBP
AD6527527677TJCTJOHBQLKJ	61873424C	839.13	GBP
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	428.21	GBP
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	7.62
LU221999TVLCKM4G89ID	61478341P	SEK	717.26
AE13938V4DMVSF49YS1CBL2	78592251D	114.75	RUB
UA761330313560969297851033726	33964464L	DKK	52.41
LT638365534312873039	28047910P		527.9
Ninety nine rocks

ME10920049706023941954	68879644A	142.54	EUR

	EUR	531.63
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	207.54	GBP
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	SEK	876.29
		N/A
IL883543164433395339809	25605636N		RUB
IS980339257905051446545486	38871658W	EUR	716.92
TN4619849WRCEBMJKF33ZPWG	68959267T	925.67	
GR472662377QRYWJJB76MDKWVY5	69578568A	CHF	183.02
IE63LFMV23097240688740	73364721B	USD	739.93
AD2206695671VH1ZHCJ41WML	34712164N	SEK	108.97
TN5872164OGDBPYXG9LENMKY	32775503C	CHF	795.96
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	DKK	693.44
IR176571293272654756861852	49284913F	531.08	DKK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	731.03	KES
XK653384625153233371	43733112S	RUE	920.49
PK19XXR25392269503727898	65092468F	223.33	EUR
HR4850788821598398500	34712164N	USD	
	966.15	GB
AL82864783232AY3OS32O9RUBQO8	92650070K	RUB	369.22

SM59J4985929449INF26CCFYJ37	15449763L		N/A
MD358F69VEV6FZO01VOURO61	53072757G	SEK	657.91
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	DKK	
CZ0277706812138182328590	32775503C	DKK	403.26
LV90GZABEFC7YL8CKPRIT	45820675Y	EUR	193.07
CH5486616JUSX9A78EG7Q	39806689Z	SEK	404.65
	791.53	CHF
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	SEK	333.27
UA964557479287233718409674295	78114389H	GBP	93.41
SA1782PK3NF0P8QAE54PWQE3	34712164N	406.79	
FI8497437259092369	92650070K	47.41	DKK
LI4699421SNVZ5X6KXPLB	73364721B	CHF	N/A
TN5872164OGDBPYXG9LENMKY	32775503C	DKK	281.24
HR0716993961872852399	65092468F	RUB	154.12
SM08B8001360827MH4HE8ZWQZXP	57926790W	RUB	775.03
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	573.68
Ninety nine rocks
HU86965308947958059611096929	90028562F	USD	910.35
Ninety nine rocks
PK69L0BH8621817146060690	90028562F	USD	884.13
SI22734001141792429	92650070K	451.33	CHF
SK7685939604189549058799	15449763L	161.58	CHF
ES5643056944669015895516	25605636N	556.75	GBP
AE77248SKMXJVII50LKBAWI	68959267T	USD	152.98
Ninety nine rocks
MR6642901340725320676709130	41656686Y	233.24	EUR
FI5863104861846787	72652162S	CHF	
		GBP
BG52YAMZ2798316FA0S342	21211380K	GBP	600.71
SA916624X9GG21M3UBMKVPVX	39670968Q	DKK	349.26
SM16B78515997941NG37B30NHX4	61873424C	CHF	
SA35720BD63GIF2Y3O04T01F	11713644C	RUB	463.4
PK43OEM16114242963306575	41656686Y	257.62	DKK
BH40JGQHIFW1PP4UDBSEGH	74853928Z	GBP	680.09
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	RUB	159.38

GR142761949P1CZJZDJ2SYQNDI0	90467036D	SEK	436.42
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S		
HU15418903579542555773697655	48974836Q	DKK	505.67
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	SEK	505.46
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	279.59	GBP
Ninety nine rocks
SI22734001141792429	92650070K	RUB	740.12


LI1878690NFPCE8D5010B	15449763L	765.55	RUB
IR050557230314417829966957	68879644A	CHF	49.01
ES5643056944669015895516	25605636N	726.69	SEK
PK69L0BH8621817146060690	90028562F	698.45	USD
SK1489672683589923153342	21211380K	475.56	EUR
IL883543164433395339809	25605636N	RUB	401.34
AE13938V4DMVSF49YS1CBL2	78592251D	EUR	562.83
XK959557362593526620	56989796M	297.73	EUR
	28.49	EUR
TL541166078438313575429	68879644A	USD	312.89
XK663155587271893003	01216279Q	964.29	RUB
AE48725YPOSTSU1LAQKZEPP	48974836Q	EUR	724.06
MD22BLJACUIOIDPAPNN838U5	78592251D	462.9	RUB
BH40JGQHIFW1PP4UDBSEGH	74853928Z	119.78	EUR
ES4718187575330891239993	61478341P	CHF	800.29
	919.3	CHF

BA384377280747809071	28047910P	EUR	966.97
LI4699421SNVZ5X6KXPLB	73364721B		65.76
CH4221745ELQS0NB2YDI8	17277755V	EUR	539.14
TL833140836943039409693	82288442P	127.4	GBP
XK663155587271893003	01216279Q	614.91	
LT638365534312873039	28047910P	405.08	USD
MD305P5NPXCZUJLRCMTKK88D	46585803Q	RUB	N/A
TN18118719KP723ZYRPADNG5	08899412E	USD	187.23

UA074704912616944389906174725	33964464L	EUR	541.69

MD305P5NPXCZUJLRCMTKK88D	46585803Q	81.94	DKK
TL541166078438313575429	68879644A		CHF
ES5401017366906132602799	65092468F	547.46	SEK
MD305P5NPXCZUJLRCMTKK88D	46585803Q	894.77	RUB
UA964557479287233718409674295	78114389H	USD	154.54
FR682539276248I8ZTO8DOJPN36	52141397Y	GBP	826.71
HU22190225373946217712707979	09651809C	USD	257.44
LT638365534312873039	28047910P	477.27	
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	523.09	CFH
TL541166078438313575429	68879644A	GBP	865.42
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	56.14	GBP
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	979.58	EUR
IR978633059983370222138180	02669410F		SEK
EE709201509112700888	55103783S	161.02	GBP
MD305P5NPXCZUJLRCMTKK88D	46585803Q	661.95	CHF
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	804.06	DKK
IS980339257905051446545486	38871658W	GBP	685.0
CR3128580029806078268	90467036D	EUR	
PK69L0BH8621817146060690	90028562F	291.58	
ES5401017366906132602799	65092468F	GBP	29.63
MC842659327688NQYJW0V4CHU32	53597542K		EUR

CY1226960690HWXS17VH1FRUEURR	38871658W	GBP	511.54


TN41642929RZ2WVDBTOBL2CI	56304499Q	RUB	966.18
GI19VETPFLRU0L1HZE6FI50	72652162S		89.13
TN4619849WRCEBMJKF33ZPWG	68959267T	DKK	371.5
VG13VRDJ7412591474836722	80518308T	CHF	557.92
ES5968395510953649142207	34532646D	3.78	GBP
AE77248SKMXJVII50LKBAWI	68959267T	KES	644.0
HR1296219505926654396	34532646D	GB	72.43
HU15418903579542555773697655	48974836Q	EUR	164.9
MC239817569615Z9IWH7FP0GD04	28744101N		DKK
	846.37	EUR
CH5486616JUSX9A78EG7Q	39806689Z	DKK	618.29
Ninety nine rocks
	EUR	604.05
CZ7031956314160953199870	28744101N	RUB	592.14
DE09062364227116961150	46585803Q	SEK	576.24
UA074704912616944389906174725	33964464L	245.83	CHF
Ninety nine rocks
LB957793SEUSHVA7QADC5597XVCS	15449763L	323.47	CHF
TR5428187TLTLTLWXSXNJBW98L	80518308T	761.26	DKK
	EUR	205.57
Ninety nine rocks
LI4699421SNVZ5X6KXPLB	73364721B	DKK	
NL97CVWG3195927181	02669410F	593.97	DKK
DO41KY9H93712983353200450117	08899412E	GBP	834.83
MC842659327688NQYJW0V4CHU32	53597542K	CHF	248.71
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	EUR	568.09
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	568.31	RUB
SA1782PK3NF0P8QAE54PWQE3	34712164N		745.51
PL09657112501393580868416806	80518308T	RUB	951.4
	SEK	825.51
CY1226960690HWXS17VH1FRUEURR	38871658W		RUB
DE49048012355817038246	09651809C	EUR	203.99
Ninety nine rocks
TR6389231PIDVKBEWMNZGSGERM	39670968Q	160.23	RUB
AL1705361571EZPDI0TZ70PXVG3H	46431533F	SEK	125.86

BH40JGQHIFW1PP4UDBSEGH	74853928Z	SEK	56.97
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	648.27	GBP
ME49140146493717009212	32775503C	USD	481.06
ES5968395510953649142207	34532646D	EUR	638.45
ES5401017366906132602799	65092468F	CHF	92.79
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	264.4	RUE
VG4064KZ1023011179745755	45820675Y	764.39	EUR

CR4034466866742477204	92650070K		323.12
UA964557479287233718409674295	78114389H	SEK	942.94
BG06HBMT683936GNVXXV8	76106600S	RUB	94.95

LB863652PCCJG32R1PC8OE2VMAY7	17277755V	GBP	781.3
DE49048012355817038246	09651809C	SEK	285.92
GI19VETPFLRU0L1HZE6FI50	72652162S	EUR	
XK663155587271893003	01216279Q	151.54	USD
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	227.2	GBP
LI4962509CEPXCTP4493V	90467036D	RUB	585.19
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	RUB	492.6
MR9765784658715364589276794	46431533F	SEK	791.9
IL162768337079138447997	34532646D	792.84	GBP
IE63LFMV23097240688740	73364721B	579.34	DKK
Ninety nine rocks
TL833140836943039409693	82288442P	115.84	DKK
PT30733844778295738083204	25605636N	DKK	217.14
	USD	274.41


PK43OEM16114242963306575	41656686Y	EUR	438.06
HU86965308947958059611096929	90028562F	20.35	DKK
TL541166078438313575429	68879644A	CHF	271.09
	EUR	376.83
Ninety nine rocks
TR5428187TLTLTLWXSXNJBW98L	80518308T	893.7	USD
SA1782PK3NF0P8QAE54PWQE3	34712164N	46.97	RUB
KZ197834HFIDJLC1ZQWJ	43733112S	CHF	710.9

RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	CHF	576.27
AE13938V4DMVSF49YS1CBL2	78592251D	DKK	721.79
FR765595701119MOEGZPV5KXN70	68959267T	315.43	CHF

Ninety nine rocks
FI4249627673709648	46585803Q	831.84	EUR
Ninety nine rocks
XK653384625153233371	43733112S		BUR
SI22734001141792429	92650070K	SEK	382.11

SK1869924870144967819542	57926790W	SEK	184.93
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	205.83	EUR
Ninety nine rocks
SA0994KFNAPS164YU9OOP574	57926790W	392.93	
TL620919673122426560269	78592251D	86.56	GBP
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	RUB	282.59
HR1296219505926654396	34532646D	GBP	957.96
GI19VETPFLRU0L1HZE6FI50	72652162S	229.61	EUR
LT404680925845138006	33964464L	SEK	633.8
BE44640395214523	02669410F		RUE
LI1878690NFPCE8D5010B	15449763L		886.88
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N		414.15
MR9765784658715364589276794	46431533F	837.97	RUB
DE49048012355817038246	09651809C	EUR	491.24
	RUB	328.28
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	886.75	CHF
	CHF	81.42
BA384377280747809071	28047910P	287.06	RUB
LV90GZABEFC7YL8CKPRIT	45820675Y	361.49	SEK
BE71843948421221	41656686Y	EUR	685.96
CY1226960690HWXS17VH1FRUEURR	38871658W	N/A	CHF
		905.76
BH45AGIJDDMI1S7IVMPBYX	72652162S	342.25	EUR
DE09062364227116961150	46585803Q	SEK	58.13
Ninety nine rocks
IE92ZGTS39160560652552	82288442P	GBP	865.6
Ninety nine rocks
CZ7031956314160953199870	28744101N	EUR	540.81
Ninety nine rocks
LU221999TVLCKM4G89ID	61478341P	368.91	USD
HU13482232244537176441358119	53597542K	531.92	
SA916624X9GG21M3UBMKVPVX	39670968Q	49.08	SEK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	481.12	EUR

KZ68819CZA89W15QWGWQ	45566106R	263.11	DKK
IL8715558788383133205	32153370S	65.53	SEK

DO38IL6559206363439644803826	45566106R	SEK	214.11
FI4249627673709648	46585803Q	EUR	995.06
		GBP
PL09657112501393580868416806	80518308T		DKK
ES4962575910679067061475	82288442P	398.12	EUR
NL22QHVX4830182943	02669410F	CHF	639.56

LT404680925845138006	33964464L	EUR	
FI1291198425298593	78592251D	576.11	SEK
BH13DAYWFNRJ0GN2RAA7UR	82288442P	DKK	740.34
UA964557479287233718409674295	78114389H	CHF	236.31
NL97CVWG3195927181	02669410F	GBP	43.55
Ninety nine rocks
CZ0277706812138182328590	32775503C	682.77	GBP
GE69NB5057725923884251	68879644A	948.96	USD
IS171554950920843049747431	32884971P	CHF	174.55
SA35720BD63GIF2Y3O04T01F	11713644C	604.24	USD
MC148366787383U6KBXX8ERM167	65092468F	GBP	601.7

GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	RUB	989.04
LI4699421SNVZ5X6KXPLB	73364721B	RUB	286.85
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	782.79	USD
TL833140836943039409693	82288442P	USD	989.99
HR1296219505926654396	34532646D	DKK	832.49
FR6886408378912CSCX6FNQDF88	46431533F	GBP	216.35
	475.34	GBP
ES1651349876073379785110	25605636N		USD
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	CHF	
TL541166078438313575429	68879644A	964.28	USD
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	RUB	328.21
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K		198.2
CH9054905KGSMB7YC5NGI	69578568A		162.79

RO10CYGJ0LFID9N0E6VIBWJV	32884971P	USD	462.55
FR765595701119MOEGZPV5KXN70	68959267T	CHF	25.31
LV90GZABEFC7YL8CKPRIT	45820675Y	DKK	298.02
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	DKK	926.31
HR2198178476216192029	80518308T	693.67	RUB
GE69NB5057725923884251	68879644A	CHF	402.66
