
LB580633U8EPDOCA4CXZJE4YB68	90221937E	603.67	GBP
IE63LFMV23097240688740	73364721B	EUR	207.09
IR176571293272654756861852	49284913F	USD	807.85
DE09062364227116961150	46585803Q	USD	908.84
CH4221745ELQS0NB2YDI8	17277755V	GBP	706.29
AT515991783210824774	28047910P	DKK	480.07
ES5643056944669015895516	25605636N	DKK	899.05

PL09657112501393580868416806	80518308T	639.86	SDU

DO41OE1F71300090297196859317	53072757G	172.83	SEK
	702.06	
AL4456909000GSUDO7J539MIJH1L	48974836Q	293.77	SEK
VG75Q442489298506119	33919412W	DKK	704.84
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	EUR	265.75
ES4718187575330891239993	61478341P	382.55	SEK
XK663155587271893003	01216279Q	DKK	257.36
HU13482232244537176441358119	53597542K	EUR	254.23

NL22QHVX4830182943	02669410F	238.61	DKK
TL312176758386021094474	45820675Y	100.06	DKK
MK36877PHFLXB419P01	56989796M	SEK	253.16


Ninety nine rocks
HU15418903579542555773697655	48974836Q	GBP	95.99
PT78461997729158096512493	56304499Q	GBP	86.63
BA073428119991458265	45820675Y		GBP
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	SEK	798.64
IR171391265758083409634677	53597542K	421.65	DKK
Ninety nine rocks
CH9054905KGSMB7YC5NGI	69578568A	SEK	270.89

BG78BJUL967644HKNQNX4N	34712164N	423.02	GBP
PK69L0BH8621817146060690	90028562F	USD	157.49
SA0994KFNAPS164YU9OOP574	57926790W	DKK	334.47
LI4699421SNVZ5X6KXPLB	73364721B	GBP	445.54
HR4850788821598398500	34712164N		RUB
TR6389231PIDVKBEWMNZGSGERM	39670968Q	DKK	102.67
AE13938V4DMVSF49YS1CBL2	78592251D	989.7	SEK
SK1869924870144967819542	57926790W	271.26	RUB

FR682539276248I8ZTO8DOJPN36	52141397Y		DKK
Ninety nine rocks
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	EUR	284.85
AE80680JARX4IHKG8HX4J	03489355A	CHF	865.04
PK69L0BH8621817146060690	90028562F	CHF	159.01
BA073428119991458265	45820675Y	GBP	62.11

AD2206695671VH1ZHCJ41WML	34712164N	SEK	376.63

VG79EPZL5105165679106759	41656686Y	SEK	242.7
Ninety nine rocks
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	CHF	941.33
UA964557479287233718409674295	78114389H		SEK
ES5643056944669015895516	25605636N	116.62	SEK
PT78461997729158096512493	56304499Q	396.18	CHF
BA384377280747809071	28047910P	11.2	USD
Ninety nine rocks
IR510789771032621503621949	56989796M		
Ninety nine rocks
FI8776565714806556	73364721B	DKK	330.46
SM08B8001360827MH4HE8ZWQZXP	57926790W	RUB	44.03
ES1359823640102827616922	08899412E	RUB	447.67
	RUB	921.69
DO38IL6559206363439644803826	45566106R	CHF	
IE63LFMV23097240688740	73364721B	141.92	USD
FR682539276248I8ZTO8DOJPN36	52141397Y	124.79	SEK
LI1878690NFPCE8D5010B	15449763L	209.11	GBP
HU86965308947958059611096929	90028562F	RUB	341.99
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	EUR	197.06
TL833140836943039409693	82288442P	RUB	883.22
PL09657112501393580868416806	80518308T	RUB	276.48
CR3128580029806078268	90467036D	EUR	359.55
MC987944106826B9BN6WA3QT157	11713644C	EUR	589.41
TN4619849WRCEBMJKF33ZPWG	68959267T		762.69
GR142761949P1CZJZDJ2SYQNDI0	90467036D		491.15
Ninety nine rocks
SA916624X9GG21M3UBMKVPVX	39670968Q	EUR	698.24
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	USD	
KZ197834HFIDJLC1ZQWJ	43733112S	SEK	679.76
IL83857132033026883	99461449C	DKK	957.83
DO38IL6559206363439644803826	45566106R	484.93	SEK
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	113.78	USD
CH4221745ELQS0NB2YDI8	17277755V	DKK	294.02
SA0994KFNAPS164YU9OOP574	57926790W	GBP	881.48
PT78461997729158096512493	56304499Q	634.46	RUB
TR6389231PIDVKBEWMNZGSGERM	39670968Q	615.02	USD
	SEK	
SM59J4985929449INF26CCFYJ37	15449763L	SEK	399.52
		USD
MK36877PHFLXB419P01	56989796M	353.96	EUR
IT46Y2178436951F0R0TJ1HE5E	36767149V	SEK	N/A
LU221999TVLCKM4G89ID	61478341P	GBP	405.96
AE48725YPOSTSU1LAQKZEPP	48974836Q	470.1	SEK
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	519.2	DKK
BR7290090080963467151419029U2	28047910P	297.2	EUR
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	GBP	508.37
PT30733844778295738083204	25605636N	SEK	459.39
	RUB	530.3
MC239817569615Z9IWH7FP0GD04	28744101N	20.49	SEK
Ninety nine rocks

	GBP	839.48
AD2206695671VH1ZHCJ41WML	34712164N	881.83	USD
	RUE	87.03
SE4072059930724762036425	46585803Q	40.98	DKK
GI19VETPFLRU0L1HZE6FI50	72652162S	997.88	CHF
	CHF	
HU22190225373946217712707979	09651809C		859.76
PK69L0BH8621817146060690	90028562F	GBP	723.29
	74.44	SEK
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	SEK	250.74
SM16B78515997941NG37B30NHX4	61873424C	277.7	
TL620919673122426560269	78592251D	CHF	499.85
EE951921847242977559	61873424C	169.06	USD
IR171391265758083409634677	53597542K	GBP	951.47
	863.44	SEK
ME49140146493717009212	32775503C	RUB	759.74
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	DKK	N/A
ES5968395510953649142207	34532646D	154.43	CHF
SA1782PK3NF0P8QAE54PWQE3	34712164N	DKK	236.69
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	USD	
DE49048012355817038246	09651809C	RUB	492.63
LU221999TVLCKM4G89ID	61478341P	RUB	984.06
	EUR	561.24

LI7752678886R565EPXUC	39670968Q	225.87	DKK
GR472662377QRYWJJB76MDKWVY5	69578568A	USD	737.91
Ninety nine rocks
IL883543164433395339809	25605636N	RUB	842.22
	58.8	
GR472662377QRYWJJB76MDKWVY5	69578568A	RUB	929.98

