PK19XXR25392269503727898	65092468F	364.68	DKK
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	CHF	107.91
NL97CVWG3195927181	02669410F	488.48	SEK
TL541166078438313575429	68879644A	GBP	445.11
PT98222714410307122371827	33964464L	USD	989.8
SA916624X9GG21M3UBMKVPVX	39670968Q	EUR	212.34
BG52YAMZ2798316FA0S342	21211380K	149.62	USD
UA074704912616944389906174725	33964464L		397.23

FI8497437259092369	92650070K	589.45	SEK
PT98222714410307122371827	33964464L	EUR	523.54
UA538840557549114757901561455	69578568A	521.59	USD
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	USD	374.55
BH85TYRATBA1DEAZUK5E	20312105R	EUR	834.76

LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	RUB	675.79

LI4962509CEPXCTP4493V	90467036D	131.28	GBP
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	349.96	CHF
PK69L0BH8621817146060690	90028562F	373.95	USD

BG64ZYDB016049B51JMUCU	38871658W	DKK	463.41
HR0716993961872852399	65092468F	502.11	BUR
ME66621247978064842093	45566106R	CHF	113.61
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	GBP	580.48

Ninety nine rocks
IR510789771032621503621949	56989796M	RUB	488.82
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	USD	689.62
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	982.99	CHF
	237.75	RUB
CH5486616JUSX9A78EG7Q	39806689Z	141.21	
B8301964590957659193921925UX	03324298V	700.91	USD
Ninety nine rocks
Ninety nine rocks

		CHF
BA073428119991458265	45820675Y	814.55	USD
VG13VRDJ7412591474836722	80518308T	GBP	524.47
	RUB	221.32
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	463.77	SEK
CZ1548502965088257735371	11713644C	767.19	SEK
BG78BJUL967644HKNQNX4N	34712164N	SEK	654.83
SK7685939604189549058799	15449763L	USD	262.85
MD305P5NPXCZUJLRCMTKK88D	46585803Q	116.87	RUB


UA761330313560969297851033726	33964464L	RUB	661.74
SM97G79397716272U9A9OBTJV1J	61873424C	36.83	DKK
	627.68	GBP
TL336197208349896119319	56989796M	CHF	282.2
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	USD	199.53
BR7290090080963467151419029U2	28047910P	204.09	SEK
	367.64	CFH
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	288.02	RUB
ES5643056944669015895516	25605636N	SEK	552.46
SA0994KFNAPS164YU9OOP574	57926790W	USD	657.74
IL055091996124285266508	09651809C	819.52	USD
SK1489672683589923153342	21211380K	254.38	GBP
AT515991783210824774	28047910P	CHF	316.22
RS73278076436469452645	61478341P	648.17	RUB
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	GBP	443.33
IL757354520133364453852	55103783S	SEK	975.64
FI1291198425298593	78592251D	767.09	DKK
	860.05	EUR

Ninety nine rocks
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	GBP	578.18
	321.98	RUB
	442.69	CHF
BE71843948421221	41656686Y	863.48	USD
CR3128580029806078268	90467036D	928.82	CHF
FO8410656999415744	53072757G	GBP	8.61
	506.9	EUR
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	577.29	EUR
Ninety nine rocks
UA074704912616944389906174725	33964464L	EUR	557.06
XK663155587271893003	01216279Q	149.76	EUR
LT206097247476437800	43733112S	DKK	709.63
FI1291198425298593	78592251D	276.42	SEK
	57.77	EUR
PK13DK7K1923908975902628	57926790W	CHF	74.89
MD358F69VEV6FZO01VOURO61	53072757G	SEK	992.34
TN6928626DST3UA1IPXJT80F	53597542K	340.13	GB
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	SEK	109.04
PT32963180014226826	89286076P	SEK	
Ninety nine rocks
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	DKK	536.94
MD305P5NPXCZUJLRCMTKK88D	46585803Q	CHF	949.52
MC842659327688NQYJW0V4CHU32	53597542K	EUR	756.2
	657.29	RUB
CH9054905KGSMB7YC5NGI	69578568A	406.98	RUB
XK663155587271893003	01216279Q	808.12	CHF
	547.47	RUB
CH4221745ELQS0NB2YDI8	17277755V	EUR	
SM16B78515997941NG37B30NHX4	61873424C	709.67	EUR
PT78461997729158096512493	56304499Q	30.76	RUB
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	CHF	36.13
AE48725YPOSTSU1LAQKZEPP	48974836Q	SEK	204.09

TL620919673122426560269	78592251D	357.01	EUR
ME10920049706023941954	68879644A	USD	183.42
TN18118719KP723ZYRPADNG5	08899412E	583.19	GBP
SA0994KFNAPS164YU9OOP574	57926790W	GBP	
Ninety nine rocks
KZ197834HFIDJLC1ZQWJ	43733112S	RUB	976.6
IE63LFMV23097240688740	73364721B	941.99	CHF
KZ68819CZA89W15QWGWQ	45566106R	458.65	EUR
ME10920049706023941954	68879644A	DKK	502.92
PT78461997729158096512493	56304499Q	USD	125.84
SM97G79397716272U9A9OBTJV1J	61873424C	603.43	RUB
CY1226960690HWXS17VH1FRUEURR	38871658W	DKK	626.59
GE76HG3429778839455413	01216279Q	134.32	DKK
XK180068384138336739	53072757G	455.82	
SA916624X9GG21M3UBMKVPVX	39670968Q	GBP	310.47
Ninety nine rocks
BR14591075742024294472425UV	61833872Y	RUB	942.12
ES4962575910679067061475	82288442P	EUR	748.35
SK1869924870144967819542	57926790W	183.35	KES


Ninety nine rocks
HU22190225373946217712707979	09651809C	GBP	850.94
LI4962509CEPXCTP4493V	90467036D	599.18	SEK
GR142761949P1CZJZDJ2SYQNDI0	90467036D	CHF	698.65
ES1359823640102827616922	08899412E	SEK	85.17
	129.14	EUR
FR682539276248I8ZTO8DOJPN36	52141397Y	388.22	GBP
DO38IL6559206363439644803826	45566106R	GBP	728.82
	531.62	USD

ES1359823640102827616922	08899412E	GBP	327.84
AZ23YPA73Y38KMRFDXQBDU3UTY	23632820E	495.06	CHF
LI4962509CEPXCTP4493V	90467036D	CHF	336.37
AD6527527677TJCTJOHBQLKJ	61873424C	398.42	DKK
Ninety nine rocks
SE4072059930724762036425	46585803Q	GBP	394.93
HU86965308947958059611096929	90028562F	SEK	46.31
BG64ZYDB016049B51JMUCU	38871658W	423.98	SEK
KZ197834HFIDJLC1ZQWJ	43733112S	414.69	EUR
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	N/A	SEK
LT352161628775605252	52141397Y	EUR	N/A
CH9054905KGSMB7YC5NGI	69578568A		374.46
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	DKK	380.5
AT515991783210824774	28047910P	EUR	871.56
ME66621247978064842093	45566106R	241.0	RUB
Ninety nine rocks
	DKK	38.74
Ninety nine rocks
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	RUB	972.79
TL620919673122426560269	78592251D	USD	989.43
	USD	
Ninety nine rocks
HR1296219505926654396	34532646D	4.91	EUR
		EUR
MC842659327688NQYJW0V4CHU32	53597542K	772.11	USD
CH4221745ELQS0NB2YDI8	17277755V	520.17	RUB
NL22QHVX4830182943	02669410F	448.07	SEK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	374.45	RUB
	263.97	USD
Ninety nine rocks
ES5643056944669015895516	25605636N	267.37	SEK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	832.33	

GI19VETPFLRU0L1HZE6FI50	72652162S		450.68

HU22190225373946217712707979	09651809C	805.01	
FI4249627673709648	46585803Q	RUB	

IE63LFMV23097240688740	73364721B	330.54	CHF
PT98222714410307122371827	33964464L	665.51	DKK
ES5968395510953649142207	34532646D	969.91	DKK
SK3641392995208681155858	52141397Y	112.47	GBP
GE76HG3429778839455413	01216279Q		707.75
IE63LFMV23097240688740	73364721B	USD	710.96
IE44RJQW49091678099855	78114389H	632.86	SEK
MC148366787383U6KBXX8ERM167	65092468F	CHF	472.27
HR4850788821598398500	34712164N	GBP	852.28
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	146.22	EUR
LT206097247476437800	43733112S	808.02	
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	658.97	EUR
HU13482232244537176441358119	53597542K	EUR	712.39
FR4380461715659NWC070CZ6G58	90028562F		180.7
DO757XIN61379289461304191141	21211380K	USD	272.3
DO41OE1F71300090297196859317	53072757G	RUB	663.59
IS171554950920843049747431	32884971P	427.8	GBP
FR4380461715659NWC070CZ6G58	90028562F	284.38	
DO41OE1F71300090297196859317	53072757G	10.95	RUB
FR682539276248I8ZTO8DOJPN36	52141397Y	DKK	542.87
DO41KY9H93712983353200450117	08899412E	GBP	
LT352161628775605252	52141397Y	868.28	RUB
Ninety nine rocks

Ninety nine rocks
Ninety nine rocks
TL336197208349896119319	56989796M	SEK	305.46
Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D	704.31	CHF
AD2206695671VH1ZHCJ41WML	34712164N	58.18	SEK
BR7290090080963467151419029U2	28047910P	CHF	951.22
HR1296219505926654396	34532646D	USD	285.11
PK43OEM16114242963306575	41656686Y	SEK	236.31
SK3641392995208681155858	52141397Y	RUB	385.98
XK180068384138336739	53072757G	CHF	145.88
IL162768337079138447997	34532646D	CHF	794.03
LB957793SEUSHVA7QADC5597XVCS	15449763L	SEK	620.92
QA46KPDP2ANZPWU11ZXZHF46JKU	45772062Q	RUB	264.87
SE4072059930724762036425	46585803Q	GBP	349.65
	DKK	533.57
	381.28	GBP
SK1489672683589923153342	21211380K	EUR	728.88

	298.99	GBP
BG52YAMZ2798316FA0S342	21211380K	991.55	DKK
ES4718187575330891239993	61478341P	293.54	CHF
	EUR	384.92
IE44RJQW49091678099855	78114389H	348.24	EUR
	428.13	CHF
MC987944106826B9BN6WA3QT157	11713644C	EUR	456.83
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	913.76	GBP
MK36877PHFLXB419P01	56989796M	488.24	DKK
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	CHF	590.88
	GBP	627.65
CH9054905KGSMB7YC5NGI	69578568A	GBP	540.79
VG30C0J46457487530434592	74853928Z	EUR	143.28
GR472662377QRYWJJB76MDKWVY5	69578568A	CHF	381.82
TR6389231PIDVKBEWMNZGSGERM	39670968Q	386.25	CHF
	EUR	309.87
UA964557479287233718409674295	78114389H		529.34
TN4619849WRCEBMJKF33ZPWG	68959267T	940.01	
LI4699421SNVZ5X6KXPLB	73364721B	USD	821.88
UA538840557549114757901561455	69578568A	137.5	DKK
LI7752678886R565EPXUC	39670968Q	GBP	298.71
IR050557230314417829966957	68879644A	RUE	443.85
TN4619849WRCEBMJKF33ZPWG	68959267T		210.92
ES5643056944669015895516	25605636N	504.03	RUB

MC239817569615Z9IWH7FP0GD04	28744101N	DKK	675.81
ME91204415592058131974	28744101N	880.59	CHF
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	CHF	539.81
AE77248SKMXJVII50LKBAWI	68959267T	624.33	USD
MD358F69VEV6FZO01VOURO61	53072757G	DKK	319.63
DE49048012355817038246	09651809C	151.39	SEK
MC987944106826B9BN6WA3QT157	11713644C	CHF	235.37
CZ7031956314160953199870	28744101N	424.13	EUR
CH4221745ELQS0NB2YDI8	17277755V	EUR	150.64
CZ1548502965088257735371	11713644C	190.86	GBP
IR050557230314417829966957	68879644A	270.48	DKK
MR9765784658715364589276794	46431533F	GBP	
GI19VETPFLRU0L1HZE6FI50	72652162S	733.32	DKK
PK43OEM16114242963306575	41656686Y	RUB	785.05
VG13VRDJ7412591474836722	80518308T		691.69
Ninety nine rocks
CR3128580029806078268	90467036D		791.32
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	88.48	RUB
Ninety nine rocks
FI1291198425298593	78592251D	CHF	165.91
ES1359823640102827616922	08899412E	551.51	CHF
BG78BJUL967644HKNQNX4N	34712164N	CHF	329.6
SI22734001141792429	92650070K	148.62	SEK

	RUB	
FI4249627673709648	46585803Q	RUB	923.35
SK1489672683589923153342	21211380K	843.06	

HU15418903579542555773697655	48974836Q	CHF	862.69
EE951921847242977559	61873424C	DKK	625.37
FI1291198425298593	78592251D	605.12	DKK
ES4718187575330891239993	61478341P	GBP	995.08
FO8410656999415744	53072757G	DKK	
VG4064KZ1023011179745755	45820675Y	24.84	
Ninety nine rocks
TR6389231PIDVKBEWMNZGSGERM	39670968Q	110.7	
BG64ZYDB016049B51JMUCU	38871658W	39.34	SEK
UA964557479287233718409674295	78114389H	850.09	EUR
SA1782PK3NF0P8QAE54PWQE3	34712164N	187.93	CHF
AE77248SKMXJVII50LKBAWI	68959267T	SEK	646.11
CR4034466866742477204	92650070K	748.87	SEK
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N		371.59
FR682539276248I8ZTO8DOJPN36	52141397Y	865.13	DKK
SK7685939604189549058799	15449763L	499.28	RUB
TL312176758386021094474	45820675Y	654.71	USD
BE44640395214523	02669410F	EUR	658.44
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	CHF	631.44
HR0716993961872852399	65092468F	RUB	487.66
KZ68819CZA89W15QWGWQ	45566106R		770.26
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	925.27	CHF
TL620919673122426560269	78592251D		CHF
	717.53	DKK
FO3735876142209257	68959267T	889.9	SEK
BR7290090080963467151419029U2	28047910P	GBP	306.73
Ninety nine rocks
AD2206695671VH1ZHCJ41WML	34712164N	N/A	EUR
XK959557362593526620	56989796M	327.82	RUB
MD358F69VEV6FZO01VOURO61	53072757G	GBP	858.27


GB62WGVI99163003599889	46431533F	CHF	99.33

SM16B78515997941NG37B30NHX4	61873424C	261.17	DKK
FO9238258269917892	08899412E	RUE	452.69
IR176571293272654756861852	49284913F	84.51	EUR
FR765595701119MOEGZPV5KXN70	68959267T	940.28	CHF
SA1782PK3NF0P8QAE54PWQE3	34712164N	702.19	RUB
UA964557479287233718409674295	78114389H	422.05	CHF
SE4072059930724762036425	46585803Q	668.51	USD
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	579.32	GBP
BH45AGIJDDMI1S7IVMPBYX	72652162S	606.36	USD
Ninety nine rocks
PK43OEM16114242963306575	41656686Y	CHF	488.14
ES4718187575330891239993	61478341P	GBP	28.83
BH13DAYWFNRJ0GN2RAA7UR	82288442P	444.78	SEK
MC148366787383U6KBXX8ERM167	65092468F	N/A	GBP
FR4380461715659NWC070CZ6G58	90028562F	780.47	DKK
FI5863104861846787	72652162S	CHF	369.54
NL97CVWG3195927181	02669410F	USD	773.98
SE424128782626180115	79949321B	CHF	739.02
	DKK	863.19
DO41KY9H93712983353200450117	08899412E	564.44	CHF
SA35720BD63GIF2Y3O04T01F	11713644C	GBP	721.56
	EUR	521.84
GI19VETPFLRU0L1HZE6FI50	72652162S	RUB	684.23
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	SDU	393.14
	RUB	516.09
UA761330313560969297851033726	33964464L	954.94	USD
	168.13	USD
Ninety nine rocks
AE77248SKMXJVII50LKBAWI	68959267T	CHF	784.33
AL82864783232AY3OS32O9RUBQO8	92650070K	560.36	DKK
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	856.82	SEK
LI4962509CEPXCTP4493V	90467036D	243.62	
